alpha body, CL_e
  -4.000000,   -0.109881
  -3.172414,   -0.028559
  -2.344828,    0.052896
  -1.517241,    0.134483
  -0.689655,    0.216205
   0.137931,    0.298177
   0.965517,    0.380161
   1.793103,    0.462285
   2.620690,    0.544548
   3.448276,    0.626954
   4.275862,    0.709505
   5.103448,    0.792203
   5.931034,    0.875049
   6.758621,    0.958045
   7.586207,    1.041194
   8.413793,    1.122728
   9.241379,    1.189293
  10.068966,    1.230668
  10.896552,    1.248509
  11.724138,    1.256454
  12.551724,    1.280188
  13.379310,    1.357524
  14.206897,    1.538497
  15.034483,    1.885442
