alpha_b, CM
  -4.000000,   -0.119632
  -3.172414,   -0.098998
  -2.344828,   -0.078363
  -1.517241,   -0.057729
  -0.689655,   -0.037094
   0.137931,   -0.016460
   0.965517,    0.004175
   1.793103,    0.024809
   2.620690,    0.045444
   3.448276,    0.066078
   4.275862,    0.086713
   5.103448,    0.107347
   5.931034,    0.127982
   6.758621,    0.148616
   7.586207,    0.169251
   8.413793,    0.189885
   9.241379,    0.210520
  10.068966,    0.231154
  10.896552,    0.251789
  11.724138,    0.272423
  12.551724,    0.293058
  13.379310,    0.313692
  14.206897,    0.334327
  15.034483,    0.354961
  15.862069,    0.375596
