alpha_h, CL
  -3.872969,   -0.296009
  -3.543003,   -0.270790
  -3.254196,   -0.248717
  -2.966481,   -0.226727
  -2.679939,   -0.204826
  -2.394426,   -0.183005
  -2.109924,   -0.161260
  -1.826415,   -0.139592
  -1.543885,   -0.117998
  -1.262440,   -0.096488
  -0.981930,   -0.075048
  -0.702338,   -0.053679
  -0.423646,   -0.032379
  -0.145837,   -0.011146
   0.131001,    0.010012
   0.406982,    0.031105
   0.682137,    0.052135
   0.956482,    0.073103
   1.230035,    0.094011
   1.502730,    0.114853
   1.776309,    0.135762
   2.059117,    0.157377
   2.349263,    0.179553
   2.640489,    0.201811
   2.933181,    0.224182
   3.280971,    0.250763
