alpha, CL
   0.000000,    0.499068
   1.578947,    0.556356
   3.157895,    0.613645
   4.736842,    0.670933
   6.315789,    0.728221
   7.894737,    0.785510
   9.473684,    0.842798
  11.052632,    0.900086
  12.631579,    0.957349
  14.210526,    1.014455
  15.789474,    1.071220
  17.368421,    1.127424
  18.947368,    1.182813
  20.526316,    1.237097
  22.105263,    1.289951
  23.684211,    1.341014
  25.263158,    1.389893
  26.842105,    1.436155
  28.421053,    1.479337
  30.000000,    1.518938
