eta, Cm
   0.000000,   -0.159948
   0.020408,   -0.159625
   0.040816,   -0.159306
   0.061224,   -0.158961
   0.081633,   -0.158589
   0.102041,   -0.158192
   0.122449,   -0.157768
   0.142857,   -0.157317
   0.163265,   -0.156838
   0.183673,   -0.156330
   0.204082,   -0.155793
   0.224490,   -0.155225
   0.244898,   -0.154624
   0.265306,   -0.153991
   0.285714,   -0.153325
   0.306122,   -0.152803
   0.326531,   -0.152687
   0.346939,   -0.152580
   0.367347,   -0.152479
   0.387755,   -0.152384
   0.408163,   -0.152294
   0.428571,   -0.152208
   0.448980,   -0.152128
   0.469388,   -0.152052
   0.489796,   -0.151981
   0.510204,   -0.151913
   0.530612,   -0.151850
   0.551020,   -0.151790
   0.571429,   -0.151735
   0.591837,   -0.151682
   0.612245,   -0.151633
   0.632653,   -0.151587
   0.653061,   -0.151543
   0.673469,   -0.151502
   0.693878,   -0.151463
   0.714286,   -0.151425
   0.734694,   -0.151387
   0.755102,   -0.151348
   0.775510,   -0.151308
   0.795918,   -0.151263
   0.816327,   -0.151212
   0.836735,   -0.151151
   0.857143,   -0.151075
   0.877551,   -0.150976
   0.897959,   -0.150843
   0.918367,   -0.150659
   0.938776,   -0.150393
   0.959184,   -0.149990
   0.979592,   -0.149328
   1.000000,    0.000000
