alpha body, Epsilon
  -4.000000,   -0.137250
  -3.172414,    0.135194
  -2.344828,    0.410835
  -1.517241,    0.689362
  -0.689655,    0.970683
   0.137931,    1.254704
   0.965517,    1.541331
   1.793103,    1.830470
   2.620690,    2.122028
   3.448276,    2.415911
   4.275862,    2.712027
   5.103448,    2.998382
   5.931034,    3.269273
   6.758621,    3.537115
   7.586207,    3.801813
   8.413793,    4.060291
   9.241379,    4.290677
  10.068966,    4.460515
  10.896552,    4.539685
  11.724138,    4.501370
  12.551724,    4.334847
  13.379310,    4.090081
  14.206897,    4.026877
  15.034483,    3.988066
  15.862069,    3.948620
  16.689655,    3.908599
  17.517241,    3.868061
  18.344828,    3.827069
  19.172414,    3.785684
  20.000000,    3.743968
