CD, CL
   0.063693,    1.217741
   0.061823,    1.307957
   0.060394,    1.398109
   0.059391,    1.488204
   0.058849,    1.578245
   0.058745,    1.668232
   0.059110,    1.758168
   0.059940,    1.848055
   0.061246,    1.937894
   0.063043,    2.027687
   0.065328,    2.117437
   0.068127,    2.207378
   0.071451,    2.297624
   0.075314,    2.387929
   0.079725,    2.478297
   0.084686,    2.568787
   0.090241,    2.659830
   0.096445,    2.752064
   0.103373,    2.846083
   0.111137,    2.942413
   0.119818,    3.041267
   0.129417,    3.141660
   0.139259,    3.238465
   0.149192,    3.332245
   0.158819,    3.416629
   0.167687,    3.486202
   0.175413,    3.537770
   0.181709,    3.570362
   0.186407,    3.585226
   0.189499,    3.585831
