eta, cCl
   0.000000,    0.479719
   0.020408,    0.478284
   0.040816,    0.478930
   0.061224,    0.479656
   0.081633,    0.480355
   0.102041,    0.480966
   0.122449,    0.481449
   0.142857,    0.481780
   0.163265,    0.481941
   0.183673,    0.481918
   0.204082,    0.481703
   0.224490,    0.481287
   0.244898,    0.480665
   0.265306,    0.479830
   0.285714,    0.478778
   0.306122,    0.477503
   0.326531,    0.476000
   0.346939,    0.474262
   0.367347,    0.472283
   0.387755,    0.470055
   0.408163,    0.467571
   0.428571,    0.464820
   0.448980,    0.461792
   0.469388,    0.458475
   0.489796,    0.454855
   0.510204,    0.450913
   0.530612,    0.446631
   0.551020,    0.441990
   0.571429,    0.436967
   0.591837,    0.431537
   0.612245,    0.425668
   0.632653,    0.419326
   0.653061,    0.412470
   0.673469,    0.405056
   0.693878,    0.397029
   0.714286,    0.388328
   0.734694,    0.378882
   0.755102,    0.368606
   0.775510,    0.357400
   0.795918,    0.345144
   0.816327,    0.331691
   0.836735,    0.316858
   0.857143,    0.300412
   0.877551,    0.282043
   0.897959,    0.261319
   0.918367,    0.237597
   0.938776,    0.209831
   0.959184,    0.176062
   0.979592,    0.131543
   1.000000,    0.000000
