eta, Add. Load
   0.000000, 8412.484121
   0.020408, 8334.806142
   0.040816, 8309.146628
   0.061224, 8271.863156
   0.081633, 8225.001886
   0.102041, 8169.945379
   0.122449, 8107.739450
   0.142857, 8039.227646
   0.163265, 7965.123858
   0.183673, 7886.059112
   0.204082, 7802.617533
   0.224490, 7715.371042
   0.244898, 7624.923752
   0.265306, 7531.990273
   0.285714, 7435.076868
   0.306122, 7337.929702
   0.326531, 7250.729627
   0.346939, 7158.077544
   0.367347, 7064.537082
   0.387755, 6969.745577
   0.408163, 6873.506917
   0.428571, 6775.702606
   0.448980, 6676.252301
   0.469388, 6575.093084
   0.489796, 6472.167386
   0.510204, 6367.399083
   0.530612, 6260.715706
   0.551020, 6152.049192
   0.571429, 6041.298155
   0.591837, 5928.337487
   0.612245, 5813.012201
   0.632653, 5695.129870
   0.653061, 5574.451048
   0.673469, 5450.676853
   0.693878, 5323.432570
   0.714286, 5192.245624
   0.734694, 5056.515509
   0.755102, 4915.471987
   0.775510, 4768.115842
   0.795918, 4613.133062
   0.816327, 4448.767302
   0.836735, 4272.624615
   0.857143, 4081.363468
   0.877551, 3870.180097
   0.897959, 3631.903612
   0.918367, 3355.277172
   0.938776, 3021.311069
   0.959184, 2594.066572
   0.979592, 1988.434987
   1.000000,    0.000000
