alpha body, Static Stability Margin
  -4.000000,   -0.098035
  -3.172414,   -0.093647
  -2.344828,   -0.084872
  -1.517241,   -0.076107
  -0.689655,   -0.064622
   0.137931,   -0.055996
   0.965517,   -0.050021
   1.793103,   -0.041126
   2.620690,   -0.032279
   3.448276,   -0.023475
   4.275862,   -0.020032
   5.103448,   -0.024447
   5.931034,   -0.025895
   6.758621,   -0.021821
   7.586207,   -0.016960
   8.413793,   -0.019482
   9.241379,   -0.056256
  10.068966,   -0.195001
  10.896552,   -0.797917
