Speed (CAS), Climb Angle
  69.804638,   -0.083884
  70.618877,   -0.097565
  71.433115,   -0.071656
  72.247354,   -0.043539
  73.061593,   -0.014363
  73.875832,    0.008233
  74.690071,    0.027604
  75.504310,    0.046911
  76.318549,    0.059816
  77.132788,    0.073740
  77.947027,    0.086534
  78.761265,    0.093632
  79.575504,    0.101410
  80.389743,    0.109688
  81.203982,    0.111218
  82.018221,    0.112974
  82.832460,    0.115258
  83.646699,    0.114422
  84.460938,    0.110392
  85.275176,    0.106516
  86.089415,    0.103003
  86.903654,    0.095897
  87.717893,    0.086091
  88.532132,    0.076375
  89.346371,    0.066840
  90.160610,    0.056593
  90.974849,    0.040816
  91.789088,    0.025069
  92.603326,    0.009304
  93.417565,   -0.006457
  94.231804,   -0.022493
  95.046043,   -0.044369
  95.860282,   -0.066428
  96.674521,   -0.088584
  97.488760,   -0.110765
  98.302999,   -0.132968
  99.117238,   -0.156308
  99.931476,   -0.184622
 100.745715,   -0.213008
 101.559954,   -0.241467
 102.374193,   -0.270141
 103.188432,   -0.298929
 104.002671,   -0.327789
 104.816910,   -0.358057
 105.631149,   -0.392708
 106.445388,   -0.427501
 107.259626,   -0.462410
 108.073865,   -0.497435
 108.888104,   -0.532673
 109.702343,   -0.568041
 110.516582,   -0.603526
 111.330821,   -0.639126
 112.145060,   -0.679780
 112.959299,   -0.720886
 113.773538,   -0.762147
 114.587776,   -0.803562
 115.402015,   -0.845169
 116.216254,   -0.886931
 117.030493,   -0.928848
 117.844732,   -0.970920
 118.658971,   -1.013148
 119.473210,   -1.055530
 120.287449,   -1.101593
 121.101688,   -1.149097
 121.915926,   -1.196755
 122.730165,   -1.244601
 123.544404,   -1.292635
 124.358643,   -1.340850
 125.172882,   -1.389188
 125.987121,   -1.437714
 126.801360,   -1.486428
 127.615599,   -1.535316
 128.429838,   -1.584298
 129.244076,   -1.633468
 130.058315,   -1.682827
 130.872554,   -1.735690
 131.686793,   -1.789688
 132.501032,   -1.843904
 133.315271,   -1.898336
 134.129510,   -1.952942
 134.943749,   -2.007625
 135.757987,   -2.062525
 136.572226,   -2.117642
 137.386465,   -2.172915
 138.200704,   -2.228246
 139.014943,   -2.283795
 139.829182,   -2.339562
 140.643421,   -2.395461
 141.457660,   -2.451406
 142.271899,   -2.507569
 143.086137,   -2.563948
 143.900376,   -2.620437
 144.714615,   -2.678899
 145.528854,   -2.739599
 146.343093,   -2.800540
 147.157332,   -2.861584
 147.971571,   -2.922677
 148.785810,   -2.984011
 149.600049,   -3.045586
 150.414287,   -3.107233
