Mach, Rate of Climb
   0.235180,    8.391059
   0.239269,    8.468033
   0.243358,    8.604400
   0.247447,    8.741929
   0.251536,    8.858249
   0.255625,    8.973491
   0.259714,    9.075970
   0.263803,    9.174706
   0.267892,    9.264573
   0.271981,    9.353103
   0.276071,    9.425152
   0.280160,    9.499614
   0.284249,    9.564621
   0.288338,    9.621937
   0.292427,    9.679351
   0.296516,    9.725184
   0.300605,    9.767546
   0.304694,    9.807927
   0.308783,    9.838533
   0.312872,    9.865189
   0.316962,    9.889442
   0.321051,    9.908923
   0.325140,    9.918363
   0.329229,    9.924966
   0.333318,    9.929120
   0.337407,    9.931817
   0.341496,    9.919438
   0.345585,    9.903780
   0.349674,    9.888449
   0.353763,    9.871722
   0.357852,    9.843668
   0.361942,    9.804907
   0.366031,    9.765742
   0.370120,    9.722925
   0.374209,    9.676445
   0.378298,    9.629478
   0.382387,    9.566638
   0.386476,    9.495847
   0.390565,    9.422152
   0.394654,    9.345644
   0.398743,    9.264994
   0.402833,    9.180351
   0.406922,    9.093131
   0.411011,    8.989818
   0.415100,    8.877345
   0.419189,    8.761221
   0.423278,    8.640859
   0.427367,    8.515800
   0.431456,    8.386412
   0.435545,    8.253180
   0.439634,    8.115213
   0.443723,    7.972491
   0.447813,    7.813271
   0.451902,    7.645175
   0.455991,    7.471824
   0.460080,    7.293616
   0.464169,    7.110506
   0.468258,    6.922081
   0.472347,    6.728387
   0.476436,    6.529823
   0.480525,    6.325879
   0.484614,    6.116532
   0.488703,    5.901970
   0.492793,    5.682038
   0.496882,    5.442625
   0.500971,    5.194903
   0.505060,    4.941252
   0.509149,    4.681639
   0.513238,    4.416037
   0.517327,    4.144140
   0.521416,    3.866175
   0.525505,    3.582131
   0.529594,    3.291647
   0.533684,    2.994745
   0.537773,    2.691671
   0.541862,    2.382250
   0.545951,    2.065799
   0.550040,    1.743077
   0.554129,    1.414055
   0.558218,    1.077720
   0.562307,    0.734706
   0.566396,    0.371091
   0.570485,   -0.002098
   0.574574,   -0.383167
   0.578664,   -0.771108
   0.582753,   -1.165953
   0.586842,   -1.569721
   0.590931,   -1.980535
   0.595020,   -2.398372
   0.599109,   -2.824678
   0.603198,   -3.259116
   0.607287,   -3.700704
   0.611376,   -4.150002
   0.615465,   -4.608845
   0.619555,   -5.074968
   0.623644,   -5.548400
   0.627733,   -6.031777
   0.631822,   -6.523243
   0.635911,   -7.022154
   0.640000,   -7.530026
