Speed (CAS), Rate of Climb
  69.804638,    1.577702
  71.018339,    1.585422
  72.232040,    1.654028
  73.445741,    1.723717
  74.659442,    1.773858
  75.873143,    1.821692
  77.086844,    1.860689
  78.300545,    1.894526
  79.514246,    1.919797
  80.727947,    1.943367
  81.941648,    1.955086
  83.155349,    1.967051
  84.369050,    1.966739
  85.582751,    1.964781
  86.796452,    1.958421
  88.010153,    1.940626
  89.223854,    1.923824
  90.437555,    1.902015
  91.651256,    1.866877
  92.864957,    1.833815
  94.078658,    1.799325
  95.292359,    1.749541
  96.506060,    1.697670
  97.719762,    1.644667
  98.933463,    1.589676
 100.147164,    1.519702
 101.360865,    1.446770
 102.574566,    1.371290
 103.788267,    1.293379
 105.001968,    1.212459
 106.215669,    1.115289
 107.429370,    1.015003
 108.643071,    0.913169
 109.856772,    0.808970
 111.070473,    0.701652
 112.284174,    0.581729
 113.497875,    0.452772
 114.711576,    0.320123
 115.925277,    0.183757
 117.138978,    0.044700
 118.352679,   -0.098047
 119.566380,   -0.244561
 120.780081,   -0.406594
 121.993782,   -0.577216
 123.207483,   -0.752182
 124.421184,   -0.931419
 125.634885,   -1.114694
 126.848586,   -1.302392
 128.062288,   -1.494543
 129.275989,   -1.690832
 130.489690,   -1.891570
 131.703391,   -2.113237
 132.917092,   -2.340045
 134.130793,   -2.571748
 135.344494,   -2.808545
 136.558195,   -3.050436
 137.771896,   -3.297264
 138.985597,   -3.549283
 140.199298,   -3.806527
 141.412999,   -4.068895
 142.626700,   -4.336511
 143.840401,   -4.609451
 145.054102,   -4.893442
 146.267803,   -5.193808
 147.481504,   -5.500020
 148.695205,   -5.812116
 149.908906,   -6.130131
 151.122607,   -6.454105
 152.336308,   -6.784075
 153.550009,   -7.120140
 154.763710,   -7.462308
 155.977411,   -7.810586
 157.191112,   -8.165070
 158.404813,   -8.525873
 159.618515,   -8.892901
 160.832216,   -9.266193
 162.045917,   -9.646065
 163.259618,  -10.032295
 164.473319,  -10.424905
 165.687020,  -10.836794
 166.900721,  -11.259539
 168.114422,  -11.689154
 169.328123,  -12.125790
 170.541824,  -12.569786
 171.755525,  -13.020780
 172.969226,  -13.478810
 174.182927,  -13.944465
 175.396628,  -14.417340
 176.610329,  -14.897381
 177.824030,  -15.385003
 179.037731,  -15.880271
 180.251432,  -16.382836
 181.465133,  -16.892850
 182.678834,  -17.411032
 183.892535,  -17.936644
 185.106236,  -18.469726
 186.319937,  -19.011103
 187.533638,  -19.560290
 188.747339,  -20.117082
 189.961040,  -20.681981
