Time, Horizontal Forces
   0.000100, 41568.890224
   0.001100, 41568.404962
   0.003796, 41567.096915
   0.010748, 41563.723596
   0.025249, 41556.688150
   0.048314, 41545.500875
   0.074348, 41532.876991
   0.100476, 41520.211965
   0.126658, 41507.524851
   0.152901, 41494.812660
   0.179242, 41482.056983
   0.205590, 41469.302053
   0.232077, 41456.484004
   0.258681, 41443.614124
   0.285148, 41430.814544
   0.311743, 41417.957480
   0.338450, 41405.050196
   0.365351, 41392.054170
   0.392554, 41378.916455
   0.419766, 41365.779156
   0.446983, 41352.643885
   0.474437, 41339.398479
   0.502055, 41326.079085
   0.529665, 41312.767879
   0.557976, 41299.124054
   0.586043, 41285.602406
   0.614585, 41271.856729
   0.643325, 41258.020988
   0.672086, 41244.179836
   0.700907, 41230.315581
   0.730023, 41216.313888
   0.759433, 41202.176726
   0.789298, 41187.825778
   0.819216, 41173.455480
   0.849343, 41158.989736
   0.879317, 41144.603347
   0.909796, 41129.979987
   0.940322, 41115.339909
   0.970919, 41100.671850
   1.002116, 41085.722044
   1.033540, 41070.669034
   1.065660, 41055.289578
   1.097376, 41040.109283
   1.129548, 41024.717480
   1.161727, 41009.328238
   1.194354, 40993.731574
   1.227005, 40978.130194
   1.259863, 40962.436280
   1.292976, 40946.627541
   1.326485, 40930.636537
   1.361055, 40914.146612
   1.395027, 40897.949167
   1.429043, 40881.737668
   1.463052, 40865.536796
   1.497650, 40849.062925
   1.499052, 40848.395428
   1.500122, 40847.885857
   1.501162, 40847.390708
   1.501983, 40847.000124
   1.502631, 40846.691832
   1.503108, 40846.464680
   1.503574, 40846.242899
   1.503690, 40846.187460
   1.503831, 40846.120599
   1.503959, 40846.059550
   1.504758, 40845.679092
   1.508063, 40844.104886
   1.519607, 40838.608553
   1.554543, 40821.978748
   1.589783, 40805.211546
   1.625230, 40788.354059
   1.661092, 40771.306907
   1.697449, 40754.033064
   1.733624, 40736.853401
   1.770361, 40719.415444
   1.806836, 40702.109897
   1.843818, 40684.572400
   1.881287, 40666.812643
   1.918977, 40648.957222
   1.956652, 40631.117699
   1.994562, 40613.175206
   2.032453, 40595.251145
   2.071371, 40576.850690
   2.110418, 40558.398896
   2.149748, 40539.822393
   2.189091, 40521.249921
   2.228804, 40502.512477
   2.268609, 40483.741455
   2.308803, 40464.796932
   2.349177, 40445.777684
   2.389762, 40426.669686
   2.430566, 40407.468758
   2.471768, 40388.090922
   2.513006, 40368.707286
   2.554909, 40349.021561
   2.596759, 40329.371804
   2.639365, 40309.378799
   2.681722, 40289.513654
   2.724054, 40269.671176
   2.766421, 40249.823801
   2.809386, 40229.707707
   2.852849, 40209.370535
   2.896475, 40188.968628
   2.939955, 40168.647106
   2.983597, 40148.262221
   3.027632, 40127.705139
   3.036481, 40123.575857
   3.037186, 40123.246911
   3.037438, 40123.129110
   3.037500, 40123.100206
   3.037563, 40123.070946
   3.037972, 40122.879827
   3.040064, 40121.902745
   3.049192, 40117.640467
   3.074683, 40105.739414
   3.116297, 40086.319803
   3.161165, 40065.393777
   3.206199, 40044.403555
   3.251307, 40023.391197
   3.296693, 40002.262394
   3.342070, 39981.151253
   3.387893, 39959.845557
   3.433789, 39938.518773
   3.479931, 39917.091832
   3.526535, 39895.463668
   3.572664, 39874.069519
   3.619651, 39852.291304
   3.666668, 39830.513148
   3.714219, 39808.501799
   3.761319, 39786.713700
   3.808770, 39764.777151
   3.856733, 39742.618527
   3.904671, 39720.485971
   3.952809, 39698.275437
   4.001229, 39675.950294
   4.050242, 39653.366669
   4.099321, 39630.767535
   4.148862, 39607.971532
   4.198208, 39585.280969
   4.248000, 39562.400857
   4.297867, 39539.501776
   4.348425, 39516.302153
   4.398824, 39493.191392
   4.449224, 39470.096141
   4.500384, 39446.669223
   4.551327, 39423.358435
   4.602450, 39399.981851
   4.603089, 39399.689946
   4.603367, 39399.562708
   4.603559, 39399.475246
   4.603656, 39399.430519
   4.603766, 39399.380202
   4.604541, 39399.025647
   4.608280, 39397.314704
   4.623946, 39390.145913
   4.664403, 39371.640086
   4.716277, 39347.927224
   4.768052, 39324.276887
   4.820099, 39300.519422
   4.872387, 39276.669872
   4.924807, 39252.777202
   4.977292, 39228.872694
   5.030354, 39204.723569
   5.083219, 39180.681925
   5.136476, 39156.480096
   5.190026, 39132.163425
   5.243782, 39107.771956
   5.297790, 39083.284342
   5.351754, 39058.835519
   5.405883, 39034.331247
   5.460509, 39009.620790
   5.515365, 38984.825174
   5.570188, 38960.064196
   5.625109, 38935.278210
   5.680801, 38910.164500
   5.736345, 38885.137028
   5.792478, 38859.864345
   5.848296, 38834.753869
   5.904122, 38809.659397
   5.960213, 38784.466359
   6.017057, 38758.955557
   6.073207, 38733.776902
   6.129945, 38708.355363
   6.187327, 38682.666346
   6.198837, 38677.515853
   6.200374, 38676.828210
   6.201728, 38676.222369
   6.203136, 38675.592485
   6.204368, 38675.041348
   6.204730, 38674.879307
   6.204839, 38674.830372
   6.204911, 38674.798276
   6.204978, 38674.768297
   6.205539, 38674.516823
   6.209722, 38672.642268
   6.225816, 38665.431215
   6.271085, 38645.156647
   6.328547, 38619.440252
   6.385679, 38593.893021
   6.443652, 38567.990961
   6.501821, 38542.023323
   6.560032, 38516.059058
   6.618575, 38489.968622
   6.677061, 38463.926015
   6.735659, 38437.855717
   6.794480, 38411.708977
   6.853368, 38385.554423
   6.912683, 38359.233152
   6.971985, 38332.940871
   7.031251, 38306.686980
   7.091212, 38280.148218
   7.151020, 38253.700932
   7.211062, 38227.173562
   7.271234, 38200.612085
   7.331474, 38174.044356
   7.392143, 38147.310880
   7.453274, 38120.398598
   7.514260, 38093.573990
   7.575292, 38066.753532
   7.636620, 38039.827552
   7.698295, 38012.773688
   7.760195, 37985.646485
   7.821863, 37958.645378
   7.834251, 37953.224182
   7.842119, 37949.781893
   7.843217, 37949.301562
   7.843552, 37949.154926
   7.843800, 37949.046115
   7.843941, 37948.984474
   7.843999, 37948.959270
   7.844054, 37948.935180
   7.844589, 37948.700378
   7.847919, 37947.240566
   7.866542, 37939.077524
   7.919560, 37915.849598
   7.981984, 37888.524865
   8.044220, 37861.307292
   8.106975, 37833.888603
   8.169741, 37806.491331
   8.233058, 37778.879258
   8.296067, 37751.427746
   8.359437, 37723.845165
   8.422740, 37696.318305
   8.486491, 37668.622722
   8.550089, 37641.020578
   8.613680, 37613.447730
   8.678114, 37585.536318
   8.742449, 37557.695178
   8.807028, 37529.775850
   8.871714, 37501.837642
   8.936477, 37473.893854
   9.001343, 37445.933044
   9.066583, 37417.838712
   9.132058, 37389.671565
   9.197628, 37361.491696
   9.263446, 37333.233737
   9.329168, 37305.045173
   9.394933, 37276.866755
   9.460950, 37248.608797
   9.474194, 37242.943370
   9.516723, 37224.758097
   9.519343, 37223.638520
   9.521667, 37222.645049
   9.523584, 37221.825833
   9.524043, 37221.629555
   9.524176, 37221.572799
   9.525159, 37221.151582
   9.526367, 37220.633994
   9.532506, 37218.003334
   9.553331, 37209.082701
   9.617819, 37181.475837
   9.684211, 37153.083053
   9.750849, 37124.614035
   9.817907, 37095.995575
   9.884895, 37067.436186
   9.951745, 37038.965403
  10.019044, 37010.333471
  10.086571, 36981.634390
  10.154423, 36952.827490
  10.222562, 36923.929643
  10.290646, 36895.085334
  10.358747, 36866.264867
