alpha_h, Cl
   0.000000,    0.110368
   0.034483,    0.111061
   0.068966,    0.112355
   0.103448,    0.113557
   0.137931,    0.114661
   0.172414,    0.115662
   0.206897,    0.116551
   0.241379,    0.117322
   0.275862,    0.117965
   0.310345,    0.118471
   0.344828,    0.118827
   0.379310,    0.119020
   0.413793,    0.119034
   0.448276,    0.118853
   0.482759,    0.118453
   0.517241,    0.117807
   0.551724,    0.116883
   0.586207,    0.115650
   0.620690,    0.114063
   0.655172,    0.112071
   0.689655,    0.109607
   0.724138,    0.106589
   0.758621,    0.102910
   0.793103,    0.098425
   0.827586,    0.092936
   0.862069,    0.086151
   0.896552,    0.077601
   0.931034,    0.066433
   0.965517,    0.050635
   1.000000,    0.000000
