alpha_h, CL
  -6.622119,   -0.694210
  -6.468177,   -0.685948
  -6.327496,   -0.678399
  -6.195142,   -0.671296
  -6.063299,   -0.664221
  -5.931738,   -0.657160
  -5.800710,   -0.650129
  -5.669939,   -0.643111
  -5.539723,   -0.636123
  -5.409739,   -0.629147
  -5.280330,   -0.622203
  -5.151128,   -0.615269
  -5.022523,   -0.608368
  -4.894099,   -0.601476
  -4.766291,   -0.594617
  -4.638641,   -0.587767
  -4.511626,   -0.580950
  -4.384744,   -0.574141
  -4.258514,   -0.567367
  -4.132394,   -0.560599
  -4.006944,   -0.553867
  -3.881579,   -0.547139
  -3.756902,   -0.540448
  -3.632286,   -0.533761
  -3.508373,   -0.527111
  -3.384498,   -0.520463
  -3.261341,   -0.513854
  -3.138206,   -0.507246
  -3.015791,   -0.500676
  -2.893403,   -0.494109
  -2.771704,   -0.487578
  -2.650054,   -0.481049
  -2.529063,   -0.474556
  -2.408140,   -0.468067
  -2.287847,   -0.461611
  -2.167642,   -0.455161
  -2.048036,   -0.448742
  -1.928538,   -0.442329
  -1.809609,   -0.435947
  -1.677418,   -0.428853
