alpha_b, CL 
  -4.000000,    0.112231
  -3.794872,    0.135398
  -3.589744,    0.159153
  -3.384615,    0.183316
  -3.179487,    0.206784
  -2.974359,    0.229643
  -2.769231,    0.252522
  -2.564103,    0.275447
  -2.358974,    0.298494
  -2.153846,    0.321584
  -1.948718,    0.344751
  -1.743590,    0.367958
  -1.538462,    0.391171
  -1.333333,    0.414404
  -1.128205,    0.437689
  -0.923077,    0.460987
  -0.717949,    0.484330
  -0.512821,    0.507652
  -0.307692,    0.531034
  -0.102564,    0.554408
   0.102564,    0.577838
   0.307692,    0.601292
   0.512821,    0.624735
   0.717949,    0.648239
   0.923077,    0.671766
   1.128205,    0.695301
   1.333333,    0.718781
   1.538462,    0.742269
   1.743590,    0.765764
   1.948718,    0.789236
   2.153846,    0.812653
   2.358974,    0.836023
   2.564103,    0.859366
   2.769231,    0.882679
   2.974359,    0.905970
   3.179487,    0.929268
   3.384615,    0.952561
   3.589744,    0.975926
   3.794872,    0.999314
   4.000000,    1.022714
