Time, Load Factor
   0.000000,    0.000000
   1.000000,    0.002319
   2.000000,    0.009141
   3.000000,    0.020259
   4.000000,    0.035470
   5.000000,    0.054571
   6.000000,    0.077362
   7.000000,    0.103644
   8.000000,    0.133221
   9.000000,    0.165899
  10.000000,    0.201488
  11.000000,    0.239801
  12.000000,    0.280655
  13.000000,    0.323872
  14.000000,    0.369280
  15.000000,    0.416712
  16.000000,    0.466006
  17.000000,    0.517007
  18.000000,    0.569561
  18.461566,    0.594300
  19.461566,    0.844843
  20.103093,    1.012960
  20.689813,    1.174454
  21.189813,    1.216555
  22.189813,    1.279094
  23.189813,    1.314592
  23.422515,    1.320347
  24.409474,    1.335800
  25.409474,    1.121877
  26.409474,    1.040808
  27.409474,    1.015088
  28.409474,    1.006109
  29.409474,    1.003550
  30.409474,    1.003700
  31.409474,    1.003831
  32.409474,    1.002589
  33.409474,    1.002710
  34.409474,    1.002827
  35.409474,    1.002939
  35.422515,    1.002923
  36.316577,    0.999020
  37.316577,    0.999006
  38.316577,    0.997607
  39.316577,    0.997563
  40.316577,    0.997518
  41.316577,    0.997474
  42.316577,    0.997429
  43.316577,    0.997385
  44.316577,    0.997341
  45.316577,    0.997298
  46.316577,    0.997254
  47.316577,    0.997210
  48.316577,    0.998507
  49.316577,    0.998462
  50.316577,    0.998417
  51.316577,    0.998371
  52.316577,    0.998326
  53.316577,    0.998281
  54.316577,    0.998235
  55.316577,    0.998189
  56.316577,    0.998144
  57.316577,    0.998099
  58.316577,    0.998053
  59.316577,    0.998008
  60.316577,    0.997963
  61.316577,    0.997917
  62.316577,    0.997872
  63.316577,    0.997827
  64.316577,    0.997782
  65.316577,    0.997737
  66.316577,    0.997692
  67.316577,    0.997647
  68.316577,    0.997600
  69.316577,    0.997554
  70.316577,    0.997508
  71.316577,    0.997462
  72.316577,    0.997416
  73.316577,    0.997371
  74.316577,    0.997326
  75.316577,    0.997476
  76.316577,    0.998525
  77.316577,    0.998478
  78.316577,    0.998431
  79.316577,    0.998384
  80.316577,    0.998336
  81.316577,    0.998289
  82.316577,    0.998242
  83.316577,    0.998196
  84.316577,    0.998149
  85.316577,    0.998102
  86.316577,    0.998056
  87.316577,    0.998009
  88.316577,    0.997963
  89.316577,    0.997916
  90.316577,    0.996551
  91.316577,    0.995140
  92.316577,    0.994996
  93.316577,    0.994856
  94.316577,    0.994719
  95.316577,    0.994584
  96.316577,    0.994453
  97.316577,    0.995577
  98.316577,    0.995450
  99.316577,    0.995327
 100.316577,    0.995207
 101.316577,    0.995090
 102.316577,    0.994976
 103.316577,    0.994866
 104.316577,    0.994759
 105.316577,    0.994656
 106.316577,    0.995794
 107.316577,    0.995694
 108.316577,    0.995598
 109.316577,    0.995505
 110.316577,    0.995416
 111.316577,    0.995330
 112.316577,    0.995247
 113.316577,    0.995168
 114.316577,    0.995090
 115.316577,    0.995015
 116.316577,    0.994942
 117.316577,    0.994872
 118.316577,    0.994807
 119.316577,    0.995959
 120.316577,    0.995897
 121.316577,    0.995838
 122.316577,    0.995781
 123.316577,    0.995729
 124.316577,    0.995680
 125.316577,    0.995633
 125.887357,    0.996127
