Ground distance, Thrust
   0.000000, 216604.859388
   1.855531, 213658.491963
   7.385609, 210754.549853
  16.535086, 207892.783190
  29.248359, 205073.062092
  45.469417, 202293.567446
  65.141892, 199554.435799
  88.209100, 196856.273464
 114.614104, 194198.564265
 144.299754, 191578.242828
 177.208735, 188998.802655
 213.283630, 186460.344114
 252.466987, 183963.215708
 294.701407, 181512.837720
 339.929664, 179109.479499
 388.094774, 176758.265142
 439.140110, 174454.696342
 493.009403, 172199.579944
 549.646767, 169979.595700
 576.706917, 168965.427334
 637.296842, 166774.488078
 676.680347, 165381.042994
 715.305342, 164083.218472
 748.193701, 163075.226761
 815.500997, 161584.581142
 884.055824, 160784.092899
 900.128167, 160662.183343
 968.279523, 160375.938080
1037.564603, 160253.753024
1106.849082, 160118.662435
1176.133051, 159979.130927
1245.416646, 159837.960369
1314.700084, 159695.868511
1383.983792, 159553.068056
1453.267559, 159410.498630
1522.551392, 159267.377208
1591.835313, 159123.935067
1661.119341, 158980.184666
1730.403491, 158836.141668
1731.464140, 158833.940015
1773.107388, 158747.493766
1842.391432, 158603.389106
1911.675527, 158459.210161
1980.959732, 158315.354335
2050.244049, 158171.747053
2119.528504, 158028.324938
2188.813103, 157885.154132
2258.097857, 157742.214643
2327.382760, 157599.520257
2355.171330, 157542.442874
2424.455895, 143138.868868
2493.739783, 128771.507872
2563.023254, 114439.002859
2632.306969, 100137.366486
2701.591223, 100091.007596
2770.876058, 100048.402853
2840.161291, 100006.967376
2909.446836, 99965.952547
2978.732601, 99925.065210
3048.018517, 99884.412565
3117.304514, 99843.612504
3186.590477, 99803.176017
3255.876473, 99762.463310
3325.162420, 99722.145151
3394.448319, 99681.495967
3463.734243, 99641.271560
3533.020074, 99600.712746
3602.306011, 99560.543710
3671.591826, 99520.101291
3740.877773, 99479.990463
3810.163545, 99439.677702
3879.449486, 99399.602698
3948.735224, 99359.411489
4018.021166, 99319.368852
4087.306905, 99279.291477
4156.592844, 99239.312242
4225.878548, 99199.361132
4295.164453, 99159.419950
4364.450139, 99119.581205
4433.736015, 99079.691484
4503.021686, 99039.965722
4572.307528, 99000.122232
4641.593201, 98960.502739
4710.879017, 98920.717845
4780.164690, 98881.208260
4849.450468, 98841.463938
4918.736184, 98802.046639
4988.021977, 98762.362438
5057.307754, 98723.046760
5126.593550, 98683.425730
5195.879385, 98644.210597
5265.165173, 98604.667411
5334.451044, 98565.549361
5403.736791, 98526.143633
5473.022700, 98487.036359
5542.308451, 98447.378001
5611.594402, 98407.566068
5680.880153, 98367.673662
5750.166124, 98327.891902
5819.451891, 98288.121564
5888.737877, 98248.385220
5958.023656, 98208.736791
6027.309654, 98169.029530
6096.595491, 98129.488400
6165.881518, 98089.850730
6235.167372, 98050.435863
6304.453365, 98010.841622
6373.739243, 97971.533733
6443.025215, 97931.996578
6512.311116, 97892.799068
6581.597046, 97853.321103
6650.882926, 97814.268902
6720.168687, 97774.881715
6789.454510, 97735.900941
6858.740154, 97696.649430
6928.025923, 97657.697744
6997.311468, 97618.579013
7066.597195, 97579.647426
7135.882691, 97540.652713
7205.168378, 97501.773073
7274.453804, 97462.912794
7343.739430, 97424.060674
7413.024819, 97385.320946
7482.310388, 97346.523183
7551.595723, 97307.911062
7620.881201, 97269.156990
7690.166489, 97230.662657
7759.451871, 97191.960437
7828.737115, 97153.581177
7898.022389, 97114.936490
7967.307582, 97076.669935
8000.000000, 97058.511088
