Time, Rate of Climb
   0.000000,   -3.402092
   1.000000,   -3.402726
   2.000000,   -3.400844
   3.000000,   -3.396496
   4.000000,   -3.397656
   5.000000,   -3.398705
   6.000000,   -3.397364
   7.000000,   -3.393687
   8.000000,   -3.391424
   9.000000,   -3.393523
  10.000000,   -3.393436
  11.000000,   -3.391159
  12.000000,   -3.386790
  13.000000,   -3.387026
  14.000000,   -3.388869
  15.000000,   -3.388692
  16.000000,   -3.386495
  17.000000,   -3.382369
  18.000000,   -3.380712
  19.000000,   -3.383203
  20.000000,   -3.383881
  21.000000,   -3.382703
  22.000000,   -3.379713
  23.000000,   -3.375040
  24.000000,   -3.373286
  25.000000,   -3.375780
  26.000000,   -3.376729
  27.000000,   -3.376076
  28.000000,   -3.373839
  29.000000,   -3.370110
  30.000000,   -3.365048
  31.000000,   -3.365231
  32.000000,   -3.367984
  33.000000,   -3.369452
  34.000000,   -3.369552
  35.000000,   -3.368265
  36.000000,   -3.365638
  37.000000,   -3.361778
  38.000000,   -3.356849
  39.000000,   -3.351065
  40.000000,   -3.353223
  41.000000,   -3.356157
  42.000000,   -3.358207
  43.000000,   -3.359259
  44.000000,   -3.359247
  45.000000,   -3.358156
  46.000000,   -3.356020
  47.000000,   -3.352922
  48.000000,   -3.348990
  49.000000,   -3.344389
  50.000000,   -3.339315
  51.000000,   -3.333983
  52.000000,   -3.328622
  53.000000,   -3.323456
  54.000000,   -3.318702
  55.000000,   -3.314555
  56.000000,   -3.311180
  57.000000,   -3.308705
  58.000000,   -3.307214
  59.000000,   -3.306746
  60.000000,   -3.307292
  61.000000,   -3.308792
  62.000000,   -3.311146
  63.000000,   -3.314214
  64.000000,   -3.317820
  65.000000,   -3.321770
  66.000000,   -3.325849
  67.000000,   -3.329842
  68.000000,   -3.333539
  69.000000,   -3.336743
  70.000000,   -3.339283
  71.000000,   -3.341022
  72.000000,   -3.341859
  73.000000,   -3.341737
  74.000000,   -3.340645
  75.000000,   -3.338618
  76.000000,   -3.335734
  77.000000,   -3.332110
  78.000000,   -3.327899
  79.000000,   -3.323279
  80.000000,   -3.318447
  81.000000,   -3.313608
  82.000000,   -3.308966
  83.000000,   -3.304715
  84.000000,   -3.301027
  85.000000,   -3.298048
  86.000000,   -3.295890
  87.000000,   -3.294624
  88.000000,   -3.294279
  89.000000,   -3.294840
  90.000000,   -3.296249
  91.000000,   -3.298410
  92.000000,   -3.301190
  93.000000,   -3.304429
  94.000000,   -3.307946
  95.000000,   -3.311549
  96.000000,   -3.315042
  97.000000,   -3.318236
  98.000000,   -3.320959
  99.000000,   -3.323060
 100.000000,   -3.324421
 101.000000,   -3.324958
 102.000000,   -3.324629
 103.000000,   -3.323430
 104.000000,   -3.321402
 105.000000,   -3.318622
 106.000000,   -3.315205
 107.000000,   -3.311293
 108.000000,   -3.307052
 109.000000,   -3.302661
 110.000000,   -3.298308
 111.000000,   -3.294173
 112.000000,   -3.290429
 113.000000,   -3.287226
 114.000000,   -3.284690
 115.000000,   -3.282910
 116.000000,   -3.281943
 117.000000,   -3.281804
 118.000000,   -3.282469
 119.000000,   -3.283877
 120.000000,   -3.285930
 121.000000,   -3.288502
 122.000000,   -3.291441
 123.000000,   -3.294581
 124.000000,   -3.297745
 125.000000,   -3.300759
 126.000000,   -3.303455
 127.000000,   -3.305684
 128.000000,   -3.307317
 129.000000,   -3.308256
 130.000000,   -3.308440
 131.000000,   -3.307839
 132.000000,   -3.306464
 133.000000,   -3.304364
 134.000000,   -3.301620
 135.000000,   -3.298345
 136.000000,   -3.294674
 137.000000,   -3.290765
 138.000000,   -3.286781
 139.000000,   -3.282890
 140.000000,   -3.279254
 141.000000,   -3.276023
 142.000000,   -3.273323
 143.000000,   -3.271257
 144.000000,   -3.269895
 145.000000,   -3.269272
 146.000000,   -3.269390
 147.000000,   -3.270213
 148.000000,   -3.271671
 149.000000,   -3.273665
 150.000000,   -3.276072
 151.000000,   -3.278748
 152.000000,   -3.281538
 153.000000,   -3.284283
 154.000000,   -3.286827
 155.000000,   -3.289024
 156.000000,   -3.290747
 157.000000,   -3.291892
 158.000000,   -3.292385
 159.000000,   -3.292183
 160.000000,   -3.291276
 161.000000,   -3.289690
 162.000000,   -3.287482
 163.000000,   -3.284740
 164.000000,   -3.281576
 165.000000,   -3.278123
 166.000000,   -3.274526
 167.000000,   -3.270936
 168.000000,   -3.267503
 169.000000,   -3.264367
 170.000000,   -3.261655
 171.000000,   -3.259471
 172.000000,   -3.257892
 173.000000,   -3.256966
 174.000000,   -3.256709
 175.000000,   -3.257105
 176.000000,   -3.258105
 177.000000,   -3.259631
 178.000000,   -3.261583
 179.000000,   -3.263836
 180.000000,   -3.266257
 181.000000,   -3.268701
 182.000000,   -3.271025
 183.000000,   -3.273094
 184.000000,   -3.274785
 185.000000,   -3.275994
 186.000000,   -3.276642
 187.000000,   -3.276677
 188.000000,   -3.276079
 189.000000,   -3.274858
 190.000000,   -3.273054
 191.000000,   -3.270734
 192.000000,   -3.267993
 193.000000,   -3.264944
 194.000000,   -3.261712
 195.000000,   -3.258434
 196.000000,   -3.255247
 197.000000,   -3.252280
 198.000000,   -3.249654
 199.000000,   -3.247469
 200.000000,   -3.245807
 201.000000,   -3.244719
 202.000000,   -3.244230
 203.000000,   -3.244336
 204.000000,   -3.245004
 205.000000,   -3.246171
 206.000000,   -3.247753
 207.000000,   -3.249645
 208.000000,   -3.251729
 209.000000,   -3.253875
 210.000000,   -3.255955
 211.000000,   -3.257844
 212.000000,   -3.259425
 213.000000,   -3.260599
 214.000000,   -3.261289
 215.000000,   -3.261440
 216.000000,   -3.261024
 217.000000,   -3.260042
 218.000000,   -3.258524
 219.000000,   -3.256523
 220.000000,   -3.254118
 221.000000,   -3.251407
 222.000000,   -3.248501
 223.000000,   -3.245520
 224.000000,   -3.242589
 225.000000,   -3.239828
 226.000000,   -3.237347
 227.000000,   -3.235242
 228.000000,   -3.233590
 229.000000,   -3.232446
 230.000000,   -3.231837
 231.000000,   -3.231767
 232.000000,   -3.232209
 233.000000,   -3.233114
 234.000000,   -3.234411
 235.000000,   -3.236007
 236.000000,   -3.237798
 237.000000,   -3.239670
 238.000000,   -3.241505
 239.000000,   -3.243188
 240.000000,   -3.244615
 241.000000,   -3.245691
 242.000000,   -3.246344
 243.000000,   -3.246518
 244.000000,   -3.246187
 245.000000,   -3.245345
 246.000000,   -3.244015
 247.000000,   -3.242242
