Time, Vertical Forces
   0.000000, -3423.127544
   1.000000, -3424.762240
   2.000000, -3426.410048
   3.000000, -3428.007040
   4.000000, -3429.491633
   5.000000, -3430.979870
   6.000000, -3432.557802
   7.000000, -3434.163380
   8.000000, -3435.733845
   9.000000, -3437.208178
  10.000000, -3438.639148
  11.000000, -3440.175501
  12.000000, -3441.761335
  13.000000, -3443.334492
  14.000000, -3444.833680
  15.000000, -3446.221863
  16.000000, -3447.679081
  17.000000, -3449.213151
  18.000000, -3450.763731
  19.000000, -3452.270196
  20.000000, -3453.674002
  21.000000, -3455.044123
  22.000000, -3456.522301
  23.000000, -3458.052617
  24.000000, -3459.574983
  25.000000, -3461.029978
  26.000000, -3462.364450
  27.000000, -3463.727281
  28.000000, -3465.183199
  29.000000, -3466.674732
  30.000000, -3468.143361
  31.000000, -3469.531812
  32.000000, -3470.810416
  33.000000, -3472.167616
  34.000000, -3473.610738
  35.000000, -3475.082809
  36.000000, -3476.526066
  37.000000, -3477.884217
  38.000000, -3479.127992
  39.000000, -3480.447477
  40.000000, -3481.853028
  41.000000, -3483.289093
  42.000000, -3484.699261
  43.000000, -3486.028470
  44.000000, -3487.238455
  45.000000, -3488.405911
  46.000000, -3489.511199
  47.000000, -3490.511394
  48.000000, -3491.387304
  49.000000, -3492.232518
  50.000000, -3493.030394
  51.000000, -3493.749938
  52.000000, -3494.363418
  53.000000, -3494.847432
  54.000000, -3495.183806
  55.000000, -3495.372582
  56.000000, -3495.593161
  57.000000, -3495.808206
  58.000000, -3496.002860
  59.000000, -3496.169597
  60.000000, -3496.302036
  61.000000, -3496.395181
  62.000000, -3496.445615
  63.000000, -3496.451622
  64.000000, -3496.413247
  65.000000, -3496.332280
  66.000000, -3496.212179
  67.000000, -3496.057925
  68.000000, -3495.875810
  69.000000, -3495.673191
  70.000000, -3495.458184
  71.000000, -3495.239346
  72.000000, -3495.025331
  73.000000, -3494.824549
  74.000000, -3494.644835
  75.000000, -3494.493144
  76.000000, -3494.375279
  77.000000, -3494.295671
  78.000000, -3494.257208
  79.000000, -3494.261136
  80.000000, -3494.307011
  81.000000, -3494.392736
  82.000000, -3494.514644
  83.000000, -3494.667662
  84.000000, -3494.845511
  85.000000, -3495.040969
  86.000000, -3495.246160
  87.000000, -3495.452869
  88.000000, -3495.652875
  89.000000, -3495.838269
  90.000000, -3496.001775
  91.000000, -3496.137030
  92.000000, -3496.238834
  93.000000, -3496.303349
  94.000000, -3496.328243
  95.000000, -3496.312776
  96.000000, -3496.257818
  97.000000, -3496.165807
  98.000000, -3496.040640
  99.000000, -3495.887512
 100.000000, -3495.712699
 101.000000, -3495.523303
 102.000000, -3495.326962
 103.000000, -3495.131544
 104.000000, -3494.944832
 105.000000, -3494.774211
 106.000000, -3494.626379
 107.000000, -3494.507080
 108.000000, -3494.420882
 109.000000, -3494.371004
 110.000000, -3494.359190
 111.000000, -3494.385651
 112.000000, -3494.449067
 113.000000, -3494.546645
 114.000000, -3494.674243
 115.000000, -3494.826542
 116.000000, -3494.997267
 117.000000, -3495.179443
 118.000000, -3495.365680
 119.000000, -3495.548470
 120.000000, -3495.720492
 121.000000, -3495.874900
 122.000000, -3496.005600
 123.000000, -3496.107488
 124.000000, -3496.176649
 125.000000, -3496.210508
 126.000000, -3496.207925
 127.000000, -3496.169233
 128.000000, -3496.096216
 129.000000, -3495.992028
 130.000000, -3495.861057
 131.000000, -3495.708744
 132.000000, -3495.541354
 133.000000, -3495.365721
 134.000000, -3495.188967
 135.000000, -3495.018216
 136.000000, -3494.860303
 137.000000, -3494.721502
 138.000000, -3494.607278
 139.000000, -3494.522067
 140.000000, -3494.469106
 141.000000, -3494.450309
 142.000000, -3494.466195
 143.000000, -3494.515880
 144.000000, -3494.597117
 145.000000, -3494.706397
 146.000000, -3494.839098
 147.000000, -3494.989679
 148.000000, -3495.151909
 149.000000, -3495.319124
 150.000000, -3495.484501
 151.000000, -3495.641333
 152.000000, -3495.783303
 153.000000, -3495.904735
 154.000000, -3496.000824
 155.000000, -3496.067821
 156.000000, -3496.103187
 157.000000, -3496.105678
 158.000000, -3496.075398
 159.000000, -3496.013782
 160.000000, -3495.923529
 161.000000, -3495.808485
 162.000000, -3495.673483
 163.000000, -3495.524135
 164.000000, -3495.366604
 165.000000, -3495.207344
 166.000000, -3495.052842
 167.000000, -3494.909345
 168.000000, -3494.782617
 169.000000, -3494.677696
 170.000000, -3494.598703
 171.000000, -3494.548669
 172.000000, -3494.529429
 173.000000, -3494.541545
 174.000000, -3494.584294
 175.000000, -3494.655709
 176.000000, -3494.752659
 177.000000, -3494.870993
 178.000000, -3495.005706
 179.000000, -3495.151160
 180.000000, -3495.301308
 181.000000, -3495.449952
 182.000000, -3495.590994
 183.000000, -3495.718685
 184.000000, -3495.827860
 185.000000, -3495.914146
 186.000000, -3495.974136
 187.000000, -3496.005525
 188.000000, -3496.007195
 189.000000, -3495.979255
 190.000000, -3495.923030
