Time, Acceleration
   0.000000, 44825.378549
   0.100000, 44758.641280
   0.200000, 44691.526947
   0.300000, 44624.038259
   0.400000, 44556.177932
   0.500000, 44487.948693
   0.600000, 44419.353274
   0.700000, 44350.394418
   0.800000, 44281.074875
   0.900000, 44211.397400
   1.000000, 44141.364759
   1.100000, 44070.979722
   1.200000, 44000.245069
   1.300000, 43929.146256
   1.400000, 43857.681168
   1.500000, 43785.874967
   1.600000, 43713.730458
   1.700000, 43641.250453
   1.800000, 43568.437766
   1.900000, 43495.295221
   2.000000, 43421.825644
   2.100000, 43348.031866
   2.200000, 43273.916725
   2.300000, 43199.483062
   2.400000, 43124.733721
   2.500000, 43049.671552
   2.600000, 42974.252237
   2.700000, 42898.496264
   2.800000, 42822.436307
   2.900000, 42746.075233
   3.000000, 42669.415912
   3.100000, 42592.461215
   3.200000, 42515.214018
   3.300000, 42437.677196
   3.400000, 42359.853630
   3.500000, 42281.746201
   3.600000, 42203.357791
   3.700000, 42124.691286
   3.800000, 42045.749571
   3.900000, 41966.479549
   4.000000, 41886.883187
   4.100000, 41807.020713
   4.200000, 41726.895020
   4.300000, 41646.509001
   4.400000, 41565.865550
   4.500000, 41484.967561
   4.600000, 41403.817926
   4.700000, 41322.419539
   4.800000, 41240.775292
   4.900000, 41158.888077
   5.000000, 41076.760784
   5.100000, 40994.396303
   5.200000, 40911.791245
   5.300000, 40828.814471
   5.400000, 40745.609767
   5.500000, 40662.180019
   5.600000, 40578.528112
   5.700000, 40494.656930
   5.800000, 40410.569351
   5.900000, 40326.268253
   6.000000, 40241.756510
   6.100000, 40157.036995
   6.200000, 40072.112574
   6.300000, 39986.986114
   6.400000, 39901.660474
   6.500000, 39816.138514
   6.600000, 39730.384844
   6.700000, 39644.300942
   6.800000, 39558.030044
   6.900000, 39471.574996
   7.000000, 39384.938637
   7.100000, 39298.123805
   7.200000, 39211.133330
   7.300000, 39123.970038
   7.400000, 39036.636749
   7.500000, 38949.136280
   7.600000, 38861.471441
   7.700000, 38773.645034
   7.800000, 38685.659859
   7.900000, 38597.518708
   8.000000, 38509.224366
   8.100000, 38420.580952
   8.200000, 38331.782614
   8.300000, 38242.840368
   8.400000, 38153.756978
   8.500000, 38064.535200
   8.600000, 37975.177786
   8.700000, 37885.687478
   8.800000, 37796.067011
   8.900000, 37706.319115
   9.000000, 37616.446509
   9.100000, 37526.451906
   9.200000, 37436.338012
   9.300000, 37346.107522
   9.400000, 37255.763127
   9.500000, 37165.258777
   9.600000, 37074.476871
   9.700000, 36983.590144
   9.800000, 36892.601255
   9.900000, 36801.512853
  10.000000, 36710.327581
  10.100000, 36619.048069
  10.200000, 36527.676940
  10.300000, 36436.216808
  10.400000, 36344.670276
  10.500000, 36253.039938
  10.600000, 36161.328381
  10.700000, 36069.538178
  10.800000, 35977.671895
  10.900000, 35885.732087
  11.000000, 35793.721300
  11.100000, 35701.532888
  11.200000, 35609.271791
  11.300000, 35516.947894
  11.400000, 35424.563702
  11.500000, 35332.121711
  11.600000, 35239.624405
  11.700000, 35147.074259
  11.800000, 35054.473734
  11.900000, 34961.825283
  12.000000, 34869.131348
  12.100000, 34776.394358
  12.200000, 34683.616731
  12.300000, 34590.800877
  12.400000, 34497.949190
  12.500000, 34405.064056
  12.600000, 34312.148485
  12.700000, 34219.229595
  12.800000, 34126.284202
  12.900000, 34033.314644
  13.000000, 33940.323247
  13.100000, 33847.312327
  13.200000, 33754.284186
  13.300000, 33661.241116
  13.400000, 33568.185395
  13.500000, 33475.119291
  13.600000, 33382.045057
  13.700000, 33288.964937
  13.800000, 33195.881161
  13.900000, 33102.795947
  14.000000, 33009.711501
  14.100000, 32916.630016
  14.200000, 32823.553673
  14.300000, 32730.546083
  14.400000, 32637.641474
  14.500000, 32544.747589
  14.600000, 32451.866557
  14.700000, 32359.000496
  14.800000, 32266.151509
  14.900000, 32173.321689
  15.000000, 32080.513114
  15.100000, 31987.727851
  15.200000, 31894.967952
  15.300000, 31802.235458
  15.400000, 31709.532396
  15.500000, 31616.860781
  15.600000, 31524.222615
  15.700000, 31431.619885
  15.800000, 31339.054569
  15.900000, 31246.528628
  16.000000, 31154.044012
  16.100000, 31061.678065
  16.200000, 30969.361539
  16.300000, 30877.091631
  16.400000, 30784.870236
  16.500000, 30692.699240
  16.600000, 30600.580512
  16.700000, 30508.515909
  16.800000, 30416.507276
  16.900000, 30324.556443
  17.000000, 30232.665229
  17.100000, 30140.835437
  17.200000, 30049.068858
  17.300000, 29957.367270
  17.400000, 29865.732439
  17.500000, 29774.166114
  17.600000, 29682.670034
  17.700000, 29591.245924
  17.800000, 29499.895495
  17.900000, 29408.404742
  18.000000, 29316.804675
  18.100000, 29225.285856
  18.200000, 29133.849942
  18.300000, 29042.498578
  18.400000, 28951.233393
  18.500000, 28860.056005
  18.600000, 28768.968018
  18.697330, 28680.399635
  18.797330, 28515.486295
  18.897330, 28229.019640
  18.997330, 27942.046031
  19.097330, 27646.663520
  19.197330, 27339.435580
  19.297330, 26998.399756
  19.335992, 26915.427644
  19.435992, 26396.356444
  19.471282, 26241.234388
  19.571282, 26006.348772
  19.671282, 25758.486614
  19.771282, 25497.885397
  19.871282, 25224.620832
  19.971282, 24938.476122
  20.071282, 24653.720520
  20.171282, 24360.679853
  20.271282, 24058.853787
  20.371282, 23748.483922
  20.471282, 23429.823050
  20.571282, 23103.110913
  20.671282, 22768.600074
  20.771282, 22426.531174
  20.871282, 22077.157878
  20.971282, 21720.727664
  21.071282, 21357.471702
  21.171282, 20987.660339
  21.271282, 20611.527544
  21.371282, 20229.313260
  21.471282, 19841.279211
  21.571282, 19447.659643
  21.671282, 19048.710291
  21.771282, 18644.646376
  21.871282, 18235.737289
  21.971282, 17822.218840
  22.071282, 17404.316160
  22.171282, 16982.284984
  22.271282, 16556.371739
  22.371282, 16126.776224
  22.471282, 15693.777169
  22.571282, 15257.576850
  22.671282, 14818.089902
  22.771282, 14375.531819
  22.871282, 13930.464476
  22.971282, 13483.184882
  23.071282, 13033.844198
  23.171282, 12583.966151
  23.226589, 12333.006776
  23.326589, 11885.570972
  23.426589, 11438.585095
  23.526589, 10990.542343
  23.626589, 10540.577043
  23.726589, 10089.614375
  23.826589, 9638.272132
  23.926589, 9186.711317
  24.026589, 8735.149877
  24.126589, 8283.775099
  24.226589, 7832.793506
  24.326589, 7382.393390
  24.426589, 6932.764480
  24.526589, 6484.087615
  24.626589, 6036.558182
  24.726589, 5590.340943
  24.826589, 5145.651955
  24.926589, 4702.628081
  25.026589, 4261.460156
  25.126589, 3822.327234
  25.226589, 3385.382327
  25.326589, 2950.801231
  25.426589, 2518.755081
  25.526589, 2089.385847
  25.626589, 1662.862852
  25.726589, 1239.362359
  25.826589,  818.999647
  25.926589,  401.948494
  26.026589,  -11.661699
  26.126589, -421.665211
  26.226589, -827.916208
  26.326589, -1230.301004
  26.426589, -1628.648235
  26.526589, -2022.866813
  26.626589, -2412.785647
  26.726589, -2798.307769
  26.826589, -3179.283463
  26.926589, -3555.589571
  27.026589, -3927.127637
  27.126589, -4293.751053
  27.226589, -4655.368117
  27.326589, -5011.842075
  27.426589, -5363.105172
  27.526589, -5708.995900
  27.626589, -6049.448365
  27.726589, -6384.337629
  27.826589, -6713.543472
  27.926589, -7037.023822
  28.026589, -7354.650654
  28.126589, -7666.340002
  28.226589, -7971.979723
  28.326589, -8271.497672
  28.426589, -8564.799484
  28.526589, -8851.829397
  28.626589, -9132.471543
  28.726589, -9407.483317
  28.826589, -9676.758095
  28.926589, -9939.418322
  29.026589, -10195.367825
  29.126589, -10444.551685
  29.226589, -10686.889701
  29.326589, -10922.331786
  29.426589, -11150.790860
  29.526589, -11370.404129
  29.626589, -11587.045940
  29.726589, -11794.761964
  29.826589, -11995.255081
  29.926589, -12188.480801
  30.026589, -12374.375817
  30.126589, -12552.894023
  30.226589, -12723.992464
  30.326589, -12887.589501
  30.426589, -13043.671871
  30.526589, -13192.171297
  30.626589, -13333.065151
  30.726589, -13466.279895
  30.826589, -13591.799246
  30.926589, -13709.578997
  31.026589, -13819.559753
  31.126589, -13921.732905
  31.226589, -14016.057357
  31.326589, -14102.499159
  31.426589, -14181.017840
  31.526589, -14251.581738
  31.626589, -14314.179124
  31.726589, -14368.771030
  31.826589, -14415.333344
  31.926589, -14453.853107
  32.026589, -14484.287938
  32.126589, -14506.634885
  32.226589, -14520.866922
  32.326589, -14526.979132
  32.426589, -14524.951433
  32.526589, -14514.757437
  32.626589, -14496.399927
  32.726589, -14469.865209
  32.826589, -14435.156913
  32.926589, -14392.239962
  33.020648, -14346.809625
  33.120648, -14350.488871
  33.220648, -14343.685369
  33.320648, -14352.605292
  33.420648, -14345.801790
  33.520648, -14338.998288
  33.620648, -14363.639125
  33.720648, -14356.835623
  33.820648, -14350.032121
  33.920648, -14343.228619
  34.020648, -14336.425116
  34.120648, -14329.621614
  34.220648, -14375.217899
  34.320648, -14368.414397
  34.420648, -14361.610894
  34.520648, -14354.807392
  34.620648, -14348.003890
  34.720648, -14341.200388
  34.820648, -14334.396885
  34.920648, -14327.593383
  35.020648, -14320.789881
  35.120648, -14313.986378
  35.220648, -14312.733588
  35.226589, -14312.329429
  35.326589, -14359.480383
  35.426589, -14359.480383
  35.526589, -14359.480383
  35.626589, -14359.480383
  35.726589, -14359.480383
  35.826589, -14359.480383
  35.926589, -14359.480383
  36.026589, -14359.480383
  36.126589, -14359.480383
  36.226589, -14411.861472
  36.326589, -14411.861472
  36.426589, -14411.861472
  36.526589, -14411.861472
  36.626589, -14411.861472
  36.726589, -14411.861472
  36.826589, -14411.861472
  36.926589, -14411.861472
  37.026589, -14411.861472
  37.126589, -14411.861472
  37.226589, -14464.233223
  37.326589, -14464.233223
  37.426589, -14464.233223
  37.526589, -14464.233223
  37.626589, -14464.233223
  37.726589, -14464.233223
  37.826589, -14464.233223
  37.926589, -14464.233223
  38.026589, -14464.233223
  38.126589, -14464.233223
