Time, Horizontal Forces
   0.000000, 216604.859388
   0.018967, 216303.024734
   0.075829, 216001.641067
   0.170530, 215700.710918
   0.303013, 215400.236801
   0.473220, 215100.221210
   0.681093, 214800.666622
   0.926575, 214501.575496
   1.209607, 214202.950272
   1.530130, 213904.793370
   1.888085, 213607.107193
   2.283413, 213309.894126
   2.716055, 213013.156533
   3.185950, 212716.818112
   3.693039, 212420.858893
   4.237260, 212125.382691
   4.818554, 211830.391797
   5.436858, 211535.888483
   6.092112, 211241.875001
   6.784254, 210948.353585
   7.513221, 210655.326450
   8.278953, 210362.795791
   9.081386, 210070.763784
   9.920457, 209779.232587
  10.796104, 209488.204338
  11.708263, 209197.681155
  12.656871, 208907.451010
  13.641864, 208617.595930
  14.663178, 208328.253291
  15.720747, 208039.425135
  16.814509, 207751.113487
  17.944397, 207463.320348
  19.110347, 207176.047705
  20.312293, 206889.297521
  21.550170, 206603.071742
  22.823911, 206317.372295
  24.133450, 206032.201085
  25.478722, 205747.560000
  26.859660, 205463.450908
  28.276196, 205179.621513
  29.728264, 204896.069304
  31.215796, 204613.056311
  32.738724, 204330.584323
  34.296981, 204048.655111
  35.890499, 203767.270425
  37.519210, 203486.431997
  39.183044, 203206.141538
  40.881934, 202926.400741
  42.615810, 202647.211278
  44.384603, 202368.574802
  46.188243, 202090.492946
  48.026663, 201812.967324
  49.899790, 201535.971045
  51.807557, 201258.897140
  53.749891, 200982.386537
  55.726724, 200706.440771
  57.737984, 200431.061359
  59.783601, 200156.249797
  61.863502, 199882.007561
  63.977619, 199608.336110
  66.125878, 199335.236880
  68.308208, 199062.711289
  70.524538, 198790.760738
  72.774796, 198519.386605
  75.058909, 198248.590250
  77.376806, 197978.373014
  79.728414, 197708.562621
  82.113660, 197438.699887
  84.532471, 197169.423137
  86.984775, 196900.733632
  89.470499, 196632.632614
  91.989568, 196365.121307
  94.541909, 196098.200916
  97.127450, 195831.872624
  99.746115, 195566.137597
 102.397831, 195300.996981
 105.082524, 195036.451904
 107.800120, 194772.503474
 110.550545, 194509.152780
