Ground Distance, Horizontal Forces
   0.000000,    0.000000
   0.118454,    4.387699
   0.473227,   17.485430
   1.063435,   39.195184
   1.888194,   69.419012
   2.946614,  108.059040
   4.237807,  155.017432
   5.760879,  210.196417
   7.514938,  273.498388
   9.499086,  344.825874
  11.712427,  424.081558
  14.154061,  511.168140
  16.823087,  605.988334
  19.718601,  708.445256
  22.839699,  818.442236
  26.185475,  935.882829
  29.755021, 1060.670656
  33.547428, 1192.709054
  37.561785, 1331.902121
  41.797179, 1478.154291
  46.252697, 1631.370288
  50.927424, 1791.455078
  55.820445, 1958.312921
  60.930842, 2131.848934
  66.257696, 2311.968941
  71.800088, 2498.579116
  77.557098, 2691.585998
  83.527804, 2890.895740
  89.711284, 3096.414043
  96.106614, 3308.048348
 102.712869, 3525.706543
 109.529125, 3749.296936
 116.554457, 3978.728188
 123.787939, 4213.907312
 131.228642, 4454.742762
 138.875640, 4701.144383
 146.728004, 4953.022487
 154.784805, 5210.287868
 163.045116, 5472.851357
 171.508007, 5740.621718
 180.172549, 6013.510473
 189.037810, 6291.430174
 198.102861, 6574.293900
 207.366773, 6862.015258
 216.828616, 7154.507981
 226.487461, 7451.684920
 236.342379, 7753.460988
 246.392440, 8059.751865
 256.636717, 8370.473794
 267.074281, 8685.543592
 277.704207, 9004.878736
 288.525569, 9328.397672
 299.537441, 9656.019057
 310.738901, 9987.662075
 322.129025, 10323.246504
 333.706892, 10662.692724
 345.471582, 11005.921879
 357.422174, 11352.858480
 369.557754, 11703.425940
 381.877405, 12057.547232
 394.380214, 12415.145941
 407.065269, 12776.146274
 419.931658, 13140.473061
 432.978472, 13508.052586
 446.204803, 13878.812496
 459.609744, 14252.679611
 473.192391, 14629.581349
 486.951842, 15009.445763
 500.887195, 15392.201542
 514.997550, 15777.777812
 529.282007, 16166.095908
 543.739664, 16557.081591
 556.222784, 16893.038949
 570.999251, 17300.257862
 585.946984, 17702.410616
 601.065798, 18080.230056
 616.355510, 18497.801534
 631.815938, 18922.118561
 647.446876, 19281.973285
 654.254791, 19473.708476
 670.128971, 19802.121766
 686.170078, 20283.703549
 694.037340, 20647.543898
 710.318237, 22628.297571
 726.751558, 27776.572351
 743.325908, 36151.441252
 760.026535, 44903.892896
 776.838631, 51381.441764
 793.750274, 55015.458702
 810.753199, 56571.880529
 827.842034, 56931.681448
 845.013365, 56504.191862
 862.265206, 55689.513168
 879.596567, 54645.511256
 897.007258, 53415.165571
 904.725122, 52875.543710
 908.567959, 52641.866786
 926.111499, 53155.062023
 943.734437, 53628.695246
 961.435617, 54072.386995
 979.213732, 54491.743056
 997.067326, 54890.087983
1014.994795, 55269.353141
1032.994389, 55630.593346
1043.466807, 55832.071658
