Ground distance, Load Factor
   0.000000,    0.000000
   6.194505,    0.003369
  24.649676,    0.013265
  55.165712,    0.029358
  97.533673,    0.051306
 151.536232,    0.078756
 216.948417,    0.111348
 293.538381,    0.148717
 381.068176,    0.190495
 479.294536,    0.236315
 587.969612,    0.285811
 706.841772,    0.338625
 835.656422,    0.394403
 974.156842,    0.452802
1122.085087,    0.513491
1279.182732,    0.576151
1445.191686,    0.640479
1619.854677,    0.706182
1802.915772,    0.772984
1937.332591,    0.820752
1937.332591,    0.820752
2060.127132,    1.002059
2086.945280,    1.054620
2187.196221,    1.092438
2189.219060,    1.092797
2394.878237,    1.067963
2606.959681,    1.029689
2740.310267,    1.000385
2742.500474,    1.000000
2964.625115,    1.000000
3192.840660,    1.000000
3404.817044,    1.000000
3641.485072,    1.000000
3878.153198,    1.000000
4114.821325,    1.000000
4351.489451,    1.000000
4588.157578,    1.000000
4824.825704,    1.000000
5061.493830,    1.000000
5298.161957,    1.000000
5534.830083,    1.000000
5771.498210,    1.000000
6008.166336,    1.000000
6244.834463,    1.000000
6481.502589,    1.000000
6718.170716,    1.000000
6954.838842,    1.000000
7191.506968,    1.000000
7428.175095,    1.000000
7664.843221,    1.000000
7901.511348,    1.000000
8138.179474,    1.000000
8374.847601,    1.000000
8611.515727,    1.000000
8848.183854,    1.000000
9084.851980,    1.000000
9321.520106,    1.000000
9558.188233,    1.000000
9794.856359,    1.000000
10031.524486,    1.000000
10268.192612,    1.000000
10504.860739,    1.000000
10741.528865,    1.000000
10978.196992,    1.000000
11214.865118,    1.000000
11451.533244,    1.000000
11688.201371,    1.000000
11924.869497,    1.000000
12161.537624,    1.000000
12398.205750,    1.000000
12634.873877,    1.000000
12871.542003,    1.000000
13108.210130,    1.000000
13344.878256,    1.000000
13581.546382,    1.000000
13818.214509,    1.000000
14054.882635,    1.000000
14291.550762,    1.000000
14528.218888,    1.000000
14764.887015,    1.000000
15001.555141,    1.000000
15238.223268,    1.000000
15474.891394,    1.000000
15711.559520,    1.000000
15948.227647,    1.000000
16184.895773,    1.000000
16421.563900,    1.000000
16658.232026,    1.000000
16894.900153,    1.000000
17131.568279,    1.000000
17368.236406,    1.000000
17604.904532,    1.000000
17841.572658,    1.000000
18078.240785,    1.000000
18314.908911,    1.000000
18551.577038,    1.000000
18788.245164,    1.000000
19024.913291,    1.000000
19261.581417,    1.000000
19498.249544,    1.000000
19734.917670,    1.000000
19971.585796,    1.000000
20208.253923,    1.000000
20444.922049,    1.000000
20681.590176,    1.000000
20918.258302,    1.000000
21154.926429,    1.000000
21391.594555,    1.000000
21628.262682,    1.000000
21864.930808,    1.000000
22101.598934,    1.000000
22338.267061,    1.000000
22574.935187,    1.000000
22811.603314,    1.000000
23048.271440,    1.000000
23284.939567,    1.000000
23521.607693,    1.000000
23758.275820,    1.000000
23994.943946,    1.000000
24231.612072,    1.000000
24468.280199,    1.000000
24704.948325,    1.000000
24941.616452,    1.000000
25178.284578,    1.000000
25414.952705,    1.000000
25651.620831,    1.000000
25888.288958,    1.000000
26246.719160,    1.000000
26246.719160,    1.000000
