Ground distance, Load Factor
   0.000000,    0.000000
   1.888085,    0.003369
   7.513221,    0.013265
  16.814509,    0.029358
  29.728264,    0.051306
  46.188243,    0.078756
  66.125878,    0.111348
  89.470499,    0.148717
 116.149580,    0.190495
 146.088975,    0.236315
 179.213138,    0.285811
 215.445372,    0.338625
 254.708077,    0.394403
 296.923005,    0.452802
 342.011535,    0.513491
 389.894897,    0.576151
 440.494426,    0.640479
 493.731706,    0.706182
 549.528727,    0.772984
 590.498974,    0.820752
 590.498974,    0.820752
 627.926750,    1.002059
 636.100921,    1.054620
 666.657408,    1.092438
 667.273970,    1.093125
 729.938616,    1.149852
 794.398115,    1.196496
 860.312635,    1.231519
 876.661866,    1.238159
 943.864720,    1.257942
1011.671322,    1.265205
1079.706555,    1.260502
1147.618240,    1.244578
1215.089609,    1.218458
1281.849367,    1.183433
1347.678900,    1.141027
1412.418152,    1.093051
1475.970643,    1.041574
1526.253473,    0.999255
1526.253473,    1.000000
1588.220087,    1.000000
1662.262372,    1.000000
1662.262372,    1.000000
1724.228987,    1.000000
1786.195601,    1.000000
1848.162215,    1.000000
1910.128829,    1.000000
1972.095443,    1.000000
2034.062057,    1.000000
2096.028671,    1.000000
2157.995285,    1.000000
2219.961899,    1.000000
2281.928513,    1.000000
2343.895127,    1.000000
2405.861741,    1.000000
2467.828355,    1.000000
2529.794969,    1.000000
2591.761583,    1.000000
2653.728197,    1.000000
2715.694811,    1.000000
2777.661425,    1.000000
2839.628039,    1.000000
2901.594653,    1.000000
2963.561267,    1.000000
3025.527882,    1.000000
3087.494496,    1.000000
3149.461110,    1.000000
3211.427724,    1.000000
3273.394338,    1.000000
3335.360952,    1.000000
3397.327566,    1.000000
3459.294180,    1.000000
3521.260794,    1.000000
3583.227408,    1.000000
3645.194022,    1.000000
3707.160636,    1.000000
3769.127250,    1.000000
3831.093864,    1.000000
3893.060478,    1.000000
3955.027092,    1.000000
4016.993706,    1.000000
4078.960320,    1.000000
4140.926934,    1.000000
4202.893548,    1.000000
4264.860162,    1.000000
4326.826777,    1.000000
4388.793391,    1.000000
4450.760005,    1.000000
4512.726619,    1.000000
4574.693233,    1.000000
4636.659847,    1.000000
4698.626461,    1.000000
4760.593075,    1.000000
4822.559689,    1.000000
4884.526303,    1.000000
4946.492917,    1.000000
5008.459531,    1.000000
5070.426145,    1.000000
5132.392759,    1.000000
5194.359373,    1.000000
5256.325987,    1.000000
5318.292601,    1.000000
5380.259215,    1.000000
5442.225829,    1.000000
5504.192443,    1.000000
5566.159057,    1.000000
5628.125672,    1.000000
5690.092286,    1.000000
5752.058900,    1.000000
5814.025514,    1.000000
5875.992128,    1.000000
5937.958742,    1.000000
5999.925356,    1.000000
6061.891970,    1.000000
6123.858584,    1.000000
6185.825198,    1.000000
6247.791812,    1.000000
6309.758426,    1.000000
6371.725040,    1.000000
6433.691654,    1.000000
6495.658268,    1.000000
6557.624882,    1.000000
6619.591496,    1.000000
6681.558110,    1.000000
6743.524724,    1.000000
6805.491338,    1.000000
6867.457953,    1.000000
6929.424567,    1.000000
6991.391181,    1.000000
7053.357795,    1.000000
7115.324409,    1.000000
7177.291023,    1.000000
7239.257637,    1.000000
7301.224251,    1.000000
7363.190865,    1.000000
7425.157479,    1.000000
7487.124093,    1.000000
7549.090707,    1.000000
7611.057321,    1.000000
7673.023935,    1.000000
7734.990549,    1.000000
7796.957163,    1.000000
7858.923777,    1.000000
7920.890391,    1.000000
7982.857005,    1.000000
8000.000000,    1.000000
