Ground distance, Load Factor
   0.000000,    0.000000
   6.194905,    0.002441
  24.655653,    0.009619
  55.195012,    0.021314
  97.624172,    0.037307
 151.752927,    0.057383
 217.389834,    0.081326
 294.342389,    0.108924
 382.417203,    0.139967
 481.420189,    0.174247
 591.156710,    0.211564
 711.431786,    0.251715
 842.050386,    0.294507
 982.817726,    0.339750
1133.539670,    0.387261
1294.023010,    0.436862
1464.075793,    0.488383
1643.507320,    0.541657
1824.409304,    0.594297
2021.696916,    0.852517
2149.034841,    1.012726
2276.503659,    1.181612
2383.837296,    1.224875
2603.607095,    1.236913
2827.838413,    1.222636
2895.986184,    1.215124
3123.764987,    1.184600
3353.294246,    1.145048
3584.008104,    1.099176
3815.560393,    1.048981
4036.541841,    0.999314
4269.515434,    1.004606
4503.234678,    1.009764
4737.658365,    1.014610
4972.726505,    1.018979
5208.362818,    1.022728
5444.477738,    1.025738
5680.971788,    1.027917
5692.450013,    1.028001
5929.223795,    1.029136
6166.132993,    1.029139
6176.733942,    1.029113
6413.666558,    1.007243
6650.598104,    0.999939
6887.529135,    0.998499
7124.459735,    0.998518
7361.390807,    0.997051
7598.322359,    0.997067
7835.254335,    0.997082
7961.580644,    0.997779
8198.511882,    0.955079
8435.441515,    0.943442
8672.370882,    0.942158
8909.301122,    0.940953
9146.232724,    0.983248
9383.165692,    0.993408
9620.099698,    0.996469
9857.034582,    0.998121
10093.970016,    0.998339
10330.905965,    0.998559
10567.842338,    0.998779
10804.779010,    0.998998
11041.716129,    0.997781
11278.653653,    0.998000
11515.591543,    0.998218
11752.529791,    0.998436
11989.468432,    0.998654
12226.407518,    0.998871
12463.346978,    0.997663
12700.286935,    0.997880
12937.227320,    0.998096
13174.168075,    0.998312
13411.109177,    0.998527
13648.050637,    0.998742
13884.992521,    0.998956
14121.934763,    0.997756
14358.877470,    0.997969
14595.820645,    0.998182
14832.764242,    0.998395
15069.708217,    0.998608
15306.652614,    0.998819
15543.597361,    0.998822
15780.542482,    0.997838
16017.488126,    0.998050
16254.434220,    0.998261
16491.380761,    0.998472
16728.327820,    0.998682
16965.275313,    0.998892
17202.223310,    0.997711
17439.171769,    0.997920
17676.120709,    0.998128
17913.070150,    0.998338
18150.020134,    0.998547
18386.970658,    0.998756
18623.921665,    0.998964
18860.873066,    0.997790
19097.825021,    0.997998
19334.777561,    0.998205
19571.730604,    0.998412
19808.684038,    0.998615
20045.637477,    0.996034
20282.591778,    0.996183
20519.546004,    0.996328
20756.500786,    0.996476
20993.456024,    0.996625
21230.411800,    0.995413
21467.368218,    0.995568
21704.325149,    0.995722
21941.282414,    0.995878
22178.240001,    0.996036
22415.197989,    0.996197
22652.156388,    0.996359
22889.115061,    0.996523
23126.074017,    0.996125
23363.033298,    0.995509
23599.993020,    0.995680
23836.953080,    0.995853
24073.913452,    0.996029
24310.874147,    0.996207
24547.835147,    0.996387
24784.796437,    0.996569
25021.758058,    0.996753
25258.720078,    0.995604
25495.682543,    0.995793
25732.645475,    0.995985
25969.608821,    0.996179
26206.572503,    0.996375
26246.719160,    0.996183
