Time, CL
   0.000000,    1.406400
   0.500000,    1.406400
   1.000000,    1.406400
   1.500000,    1.406400
   2.000000,    1.406400
   2.500000,    1.406400
   3.000000,    1.406400
   3.500000,    1.406400
   4.000000,    1.406400
   4.500000,    1.406400
   5.000000,    1.406400
   5.500000,    1.406400
   6.000000,    1.406400
   6.500000,    1.406400
   7.000000,    1.406400
   7.500000,    1.406400
   8.000000,    1.406400
   8.500000,    1.406400
   9.000000,    1.406400
   9.500000,    1.406400
  10.000000,    1.406400
  10.500000,    1.406400
  11.000000,    1.406400
  11.500000,    1.406400
  12.000000,    1.406400
  12.500000,    1.406400
  13.000000,    1.406400
  13.500000,    1.406400
  14.000000,    1.406400
  14.500000,    1.406400
  15.000000,    1.406400
  15.500000,    1.406400
  16.000000,    1.406400
  16.500000,    1.406400
  17.000000,    1.406400
  17.500000,    1.406400
  17.963497,    1.406400
  18.463497,    1.595496
  18.963497,    1.798224
  19.463497,    1.967845
  19.571539,    2.004648
  20.071539,    2.182081
  20.193228,    2.219199
  20.693228,    2.219199
  21.193228,    2.176149
  21.693228,    2.132949
  22.193228,    2.089717
  22.693228,    2.046529
  22.997390,    2.020229
  23.497390,    1.977587
  23.997390,    1.934346
  24.497390,    1.891085
  24.997390,    1.847929
  25.497390,    1.804642
  25.997390,    1.761458
  26.497390,    1.718188
  26.997390,    1.675080
  27.497390,    1.631719
  27.942823,    1.593350
  28.442823,    1.593350
  28.942823,    1.593350
  29.442823,    1.593350
  29.942823,    1.593350
  30.442823,    1.593350
  30.942823,    1.593350
  31.442823,    1.593350
  31.942823,    1.593350
  32.442823,    1.593350
  32.942823,    1.593350
  33.442823,    1.593350
  33.942823,    1.593350
  34.442823,    1.593350
  34.942823,    1.593350
  34.997390,    1.593350
  35.497390,    1.593350
  35.997390,    1.593350
  36.497390,    1.593350
  36.997390,    1.593350
  37.029917,    1.593350
  37.529917,    1.573874
  38.029917,    1.563054
  38.529917,    1.556562
  39.029917,    1.554398
  39.529917,    1.554398
  40.029917,    1.554398
  40.529917,    1.554398
  41.029917,    1.554398
  41.529917,    1.556562
  42.029917,    1.556562
  42.529917,    1.558726
  43.029917,    1.558726
  43.529917,    1.560890
  44.029917,    1.560890
  44.529917,    1.563054
  44.599889,    1.563054
  45.099889,    1.439706
  45.599889,    1.375868
  46.099889,    1.345528
  46.599889,    1.332588
  47.099889,    1.330424
  47.599889,    1.330424
  48.099889,    1.332588
  48.599889,    1.336916
  49.099889,    1.470002
  49.599889,    1.536004
  50.099889,    1.566300
  50.599889,    1.583612
  51.099889,    1.592268
  51.599889,    1.596596
  52.099889,    1.600924
  52.599889,    1.603088
  53.099889,    1.603088
  53.599889,    1.605252
  54.099889,    1.605252
  54.599889,    1.605252
  55.099889,    1.607416
  55.599889,    1.607416
  56.099889,    1.607416
  56.599889,    1.609580
  57.099889,    1.609580
  57.599889,    1.609580
  58.099889,    1.609580
  58.599889,    1.611744
  59.099889,    1.611744
  59.599889,    1.611744
  60.099889,    1.613908
  60.599889,    1.613908
  61.099889,    1.613908
  61.599889,    1.613908
  62.099889,    1.616072
  62.599889,    1.616072
  63.099889,    1.616072
  63.599889,    1.616072
  64.099889,    1.618236
  64.599889,    1.618236
  65.099889,    1.618236
  65.599889,    1.620400
  66.099889,    1.620400
  66.599889,    1.620400
  67.099889,    1.620400
  67.599889,    1.622564
  68.099889,    1.622564
  68.599889,    1.622564
  69.099889,    1.624728
  69.599889,    1.624728
  70.099889,    1.624728
  70.599889,    1.624728
  71.099889,    1.626892
  71.599889,    1.626892
  72.099889,    1.626892
  72.599889,    1.629056
  73.099889,    1.629056
  73.599889,    1.629056
  74.099889,    1.629056
  74.599889,    1.631220
  75.099889,    1.631220
  75.599889,    1.631220
  76.099889,    1.631220
  76.599889,    1.633384
  77.099889,    1.633384
  77.599889,    1.633384
  78.099889,    1.635548
  78.599889,    1.635548
  79.099889,    1.635548
  79.599889,    1.635548
  80.099889,    1.637712
  80.599889,    1.637712
  81.099889,    1.637712
  81.599889,    1.639876
  82.099889,    1.639876
  82.599889,    1.639876
  83.099889,    1.639876
  83.599889,    1.642040
  84.099889,    1.642040
  84.599889,    1.642040
  85.099889,    1.644204
  85.599889,    1.644204
  86.099889,    1.644204
  86.599889,    1.644204
  87.099889,    1.646368
  87.599889,    1.646368
  88.099889,    1.646368
  88.599889,    1.646368
  89.099889,    1.648532
  89.599889,    1.648532
  90.099889,    1.648532
  90.599889,    1.650696
  91.099889,    1.650696
  91.599889,    1.650696
  92.099889,    1.650696
  92.599889,    1.652860
  93.099889,    1.652860
  93.599889,    1.652860
  94.099889,    1.655024
  94.599889,    1.655024
  95.099889,    1.655024
  95.599889,    1.655024
  96.099889,    1.657188
  96.599889,    1.657188
  97.099889,    1.657188
  97.599889,    1.659318
  98.099889,    1.659352
  98.599889,    1.659352
  99.099889,    1.659352
  99.599889,    1.661516
 100.099889,    1.661516
 100.599889,    1.661516
 101.099889,    1.661516
 101.599889,    1.663680
 102.099889,    1.663680
 102.599889,    1.663680
 103.099889,    1.665844
 103.599889,    1.665844
 104.099889,    1.665844
 104.599889,    1.665844
 105.099889,    1.668008
 105.599889,    1.668008
 106.099889,    1.668008
 106.599889,    1.670172
 107.099889,    1.670172
 107.599889,    1.670172
 108.099889,    1.670172
 108.599889,    1.672336
 109.099889,    1.672336
 109.599889,    1.672336
 110.099889,    1.672336
 110.599889,    1.674500
 111.099889,    1.674500
 111.599889,    1.674500
 112.099889,    1.676664
 112.599889,    1.676664
 113.099889,    1.676664
 113.599889,    1.676664
 114.099889,    1.678828
 114.599889,    1.678828
 115.099889,    1.678828
 115.599889,    1.680992
 116.099889,    1.680992
 116.599889,    1.680992
 117.099889,    1.680992
 117.599889,    1.683156
 118.099889,    1.683156
 118.599889,    1.683156
 119.099889,    1.683156
 119.599889,    1.685320
 120.099889,    1.685320
 120.599889,    1.685320
 121.099889,    1.685320
 121.599889,    1.687484
 121.729699,    1.687484
