Ground Distance, Angles
   0.000000,    0.000000
   1.552581,    0.000000
   6.194861,    0.000000
  13.903565,    0.000000
  24.655307,    0.000000
  38.426598,    0.000000
  55.193855,    0.000000
  74.933397,    0.000000
  97.621461,    0.000000
 123.234202,    0.000000
 151.747692,    0.000000
 183.137943,    0.000000
 217.380894,    0.000000
 254.452420,    0.000000
 294.328359,    0.000000
 336.984478,    0.000000
 382.396512,    0.000000
 430.540166,    0.000000
 481.391088,    0.000000
 534.924921,    0.000000
 591.117286,    0.000000
 649.943770,    0.000000
 711.379973,    0.000000
 775.401505,    0.000000
 841.983979,    0.000000
 911.103042,    0.000000
 982.734388,    0.000000
1056.853758,    0.000000
1133.436948,    0.000000
1212.459821,    0.000000
1293.898341,    0.000000
1377.728538,    0.000000
1463.926518,    0.000000
1552.468476,    0.000000
1643.330693,    0.000000
1736.489524,    0.000000
1824.877900,    0.000000
1922.398242,    0.000000
2022.163745,    0.000000
2124.169540,    0.000000
2146.505219,    0.000000
2251.214168,    0.367574
2277.025392,    0.542516
2384.355505,    1.414100
2493.521616,    2.386829
2604.117497,    3.370256
2715.797728,    4.334263
2828.343401,    5.259980
2897.164309,    5.798663
3010.793420,    6.637664
3124.948951,    7.409414
3239.539057,    8.106012
3354.486084,    8.720694
3469.726689,    9.247791
3585.211081,    9.682510
3700.902640,   10.021041
3816.778873,   10.260531
3932.831073,   10.398935
4036.368932,   10.436128
4152.770657,   10.438937
4269.363497,   10.452079
4386.144112,   10.475428
4503.107868,   10.508769
4620.248881,   10.551804
4737.560092,   10.604152
4855.033332,   10.665358
4972.659414,   10.734893
5090.428220,   10.812167
5208.328801,   10.896529
5326.349480,   10.987276
5444.477965,   11.083659
5562.701457,   11.184893
5681.006772,   11.290156
5693.922465,   11.301852
5812.302261,   11.410564
5930.732217,   11.521303
6049.195670,   11.632997
6167.676171,   11.744578
6175.383949,   11.751808
6293.867422,   11.833207
6412.350536,   11.872440
6530.833386,   11.889186
6649.316003,   11.893688
6767.798534,   11.892204
6886.280761,   11.887936
7004.762672,   11.880847
7123.244640,   11.870925
7241.726770,   11.863497
7360.208915,   11.853558
7478.691277,   11.845737
7597.173677,   11.835779
7715.656284,   11.828058
7834.138936,   11.818080
7952.621793,   11.810407
7969.202651,   11.809178
8087.685152,   11.684664
8206.167090,   11.397297
8324.648505,   11.027623
8443.129533,   10.617314
8561.610317,   10.187531
8680.091029,    9.748827
8798.571954,    9.306198
8917.053138,    8.862918
9035.534748,    8.541243
9154.016910,    8.377104
9272.499501,    8.288360
9390.982454,    8.239099
9509.465679,    8.210724
9627.949144,    8.193016
9746.432846,    8.181762
9864.916721,    8.173005
9983.400790,    8.167380
10101.885013,    8.160412
10220.369353,    8.156759
10338.853639,    8.151153
10457.338254,    8.146240
10575.822739,    8.142226
10694.307271,    8.136264
10812.792089,    8.132237
10931.276712,    8.127863
11049.761462,    8.121547
11168.246421,    8.118120
11286.731195,    8.113387
11405.216194,    8.107031
11523.701292,    8.103883
11642.186267,    8.098793
11760.671549,    8.093141
11879.156811,    8.089636
11997.642026,    8.084193
12116.127561,    8.079418
12234.612946,    8.075555
12353.098341,    8.069758
12471.584060,    8.065349
12590.069626,    8.061130
12708.555308,    8.054982
12827.041239,    8.051415
12945.526992,    8.046842
13064.012951,    8.040482
13182.499024,    8.037485
13300.984947,    8.032558
13419.471149,    8.026764
13537.957355,    8.023410
13656.443481,    8.018131
13774.929925,    8.013083
13893.416260,    8.009374
14011.902583,    8.003743
14130.389231,    7.999246
14248.875728,    7.995183
14367.362305,    7.989203
14485.849166,    7.985396
14604.335855,    7.980981
14722.822721,    7.974657
14841.309784,    7.971486
14959.796703,    7.966723
15078.283894,    7.960650
15196.771162,    7.957453
15315.258336,    7.952342
15433.745832,    7.946868
15552.233297,    7.943319
15670.720733,    7.937862
15789.208516,    7.932992
15907.696195,    7.929094
16026.183925,    7.923292
16144.671969,    7.919175
16263.159848,    7.914928
16381.647853,    7.908782
16500.136130,    7.905149
16618.624259,    7.900556
16737.112621,    7.894277
16855.601109,    7.891238
16974.089478,    7.886300
17092.578153,    7.880546
17211.066858,    7.877161
17329.555518,    7.871880
17448.044514,    7.866995
17566.533401,    7.863264
17685.022297,    7.857640
17803.511529,    7.853196
17922.000624,    7.849119
18040.489819,    7.843155
18158.979327,    7.839285
18277.468697,    7.834867
18395.958276,    7.828569
18514.448036,    7.825554
18632.937664,    7.820797
18751.427576,    7.814894
18869.917556,    7.811682
18988.407467,    7.806587
19106.897706,    7.801479
19225.387873,    7.797926
19343.878023,    7.792492
19462.368513,    7.787849
19580.858885,    7.783954
19699.349323,    7.778184
19817.840113,    7.774004
19936.330789,    7.769773
20054.821647,    7.763675
20173.312726,    7.760511
20291.803658,    7.755946
20410.294838,    7.749867
20528.786130,    7.746838
20647.277321,    7.741938
20765.768825,    7.736504
20884.260319,    7.733138
21002.751774,    7.727904
21121.243582,    7.722955
21239.735327,    7.719254
21358.227121,    7.713691
21476.719257,    7.709516
21595.211261,    7.705484
21713.703389,    7.699594
21832.195793,    7.695996
21950.688008,    7.691629
22069.180390,    7.685407
22187.672940,    7.682173
22306.165234,    7.677458
22424.657186,    7.670838
22543.148589,    7.662283
22661.639497,    7.651780
22780.130232,    7.639338
22898.621250,    7.627239
23017.112144,    7.616159
23135.603137,    7.603159
23254.094341,    7.592781
23372.585376,    7.581155
23491.076687,    7.568698
23609.567980,    7.558458
23728.059217,    7.546308
23846.550755,    7.535083
23965.042098,    7.524323
24083.533503,    7.511665
24202.025135,    7.501293
24320.516559,    7.490031
24439.008196,    7.477237
24557.499905,    7.467384
24675.991498,    7.455641
24794.483407,    7.443892
24912.975214,    7.433566
25031.467026,    7.421362
25149.959131,    7.410662
25268.451032,    7.399881
25386.943058,    7.387233
25505.435276,    7.377346
25623.927310,    7.366127
25742.419596,    7.353914
25860.911870,    7.344135
25979.404038,    7.332496
26097.896526,    7.320976
26216.388909,    7.310786
26246.719160,    7.307880
