Ground distance, Load Factor
   0.000000,    0.000000
   1.552581,    0.000615
   6.194861,    0.002441
  13.903565,    0.005452
  24.655307,    0.009618
  38.426598,    0.014914
  55.193855,    0.021311
  74.933397,    0.028782
  97.621461,    0.037301
 123.234202,    0.046839
 151.747692,    0.057371
 183.137943,    0.068869
 217.380894,    0.081306
 254.452420,    0.094656
 294.328359,    0.108893
 336.984478,    0.123990
 382.396512,    0.139921
 430.540166,    0.156662
 481.391088,    0.174185
 534.924921,    0.192466
 591.117286,    0.211479
 649.943770,    0.231201
 711.379973,    0.251605
 775.401505,    0.272669
 841.983979,    0.294368
 911.103042,    0.316678
 982.734388,    0.339577
1056.853758,    0.363041
1133.436948,    0.387049
1212.459821,    0.411578
1293.898341,    0.436607
1377.728538,    0.462115
1463.926518,    0.488081
1552.468476,    0.514483
1643.330693,    0.541303
1736.489524,    0.568518
1824.877900,    0.594083
1922.398242,    0.715523
2022.163745,    0.852090
2124.169540,    0.979890
2146.505219,    1.008599
2251.214168,    1.149367
2277.025392,    1.181110
2384.355505,    1.224326
2493.521616,    1.235072
2604.117497,    1.236337
2715.797728,    1.231273
2828.343401,    1.222040
2897.164309,    1.214777
3010.793420,    1.200946
3124.948951,    1.184266
3239.539057,    1.165404
3354.486084,    1.144741
3469.726689,    1.122410
3585.211081,    1.098825
3700.902640,    1.074131
3816.778873,    1.048766
3932.831073,    1.022698
4036.368932,    0.999390
4152.770657,    1.002053
4269.363497,    1.004705
4386.144112,    1.007321
4503.107868,    1.009879
4620.248881,    1.012357
4737.560092,    1.014734
4855.033332,    1.016990
4972.659414,    1.019106
5090.428220,    1.021066
5208.328801,    1.022852
5326.349480,    1.024452
5444.477965,    1.025852
5562.701457,    1.027043
5681.006772,    1.028016
5693.922465,    1.028108
5812.302261,    1.028805
5930.732217,    1.029217
6049.195670,    1.029345
6167.676171,    1.029190
6175.383949,    1.029170
6293.867422,    1.015323
6412.350536,    1.007291
6530.833386,    1.002162
6649.316003,    0.999971
6767.798534,    0.999247
6886.280761,    0.998509
7004.762672,    0.997766
7123.244640,    0.997022
7241.726770,    0.997761
7360.208915,    0.997017
7478.691277,    0.997756
7597.173677,    0.997013
7715.656284,    0.997750
7834.138936,    0.997009
7952.621793,    0.997745
7969.202651,    0.997641
8087.685152,    0.940365
8206.167090,    0.910904
8324.648505,    0.897272
8443.129533,    0.889612
8561.610317,    0.886367
8680.091029,    0.884633
8798.571954,    0.884413
8917.053138,    0.884262
9035.534748,    0.941033
9154.016910,    0.969482
9272.499501,    0.983074
9390.982454,    0.991035
9509.465679,    0.994757
9627.949144,    0.996704
9746.432846,    0.997983
9864.916721,    0.997470
9983.400790,    0.998386
10101.885013,    0.999009
10220.369353,    0.998797
10338.853639,    0.998292
10457.338254,    0.999211
10575.822739,    0.998704
10694.307271,    0.998201
10812.792089,    0.999117
10931.276712,    0.998611
11049.761462,    0.998109
11168.246421,    0.999023
11286.731195,    0.998519
11405.216194,    0.999435
11523.701292,    0.998930
11642.186267,    0.998427
11760.671549,    0.999342
11879.156811,    0.998838
11997.642026,    0.998336
12116.127561,    0.999249
12234.612946,    0.998745
12353.098341,    0.998245
12471.584060,    0.999156
12590.069626,    0.998654
12708.555308,    0.998155
12827.041239,    0.999064
12945.526992,    0.998562
13064.012951,    0.998874
13182.499024,    0.998971
13300.984947,    0.998471
13419.471149,    0.999380
13537.957355,    0.998879
13656.443481,    0.998380
13774.929925,    0.999287
13893.416260,    0.998787
14011.902583,    0.998290
14130.389231,    0.999195
14248.875728,    0.998696
14367.362305,    0.998201
14485.849166,    0.999103
14604.335855,    0.998605
14722.822721,    0.998112
14841.309784,    0.999012
14959.796703,    0.998516
15078.283894,    0.999418
15196.771162,    0.998921
15315.258336,    0.998426
15433.745832,    0.999327
15552.233297,    0.998831
15670.720733,    0.998337
15789.208516,    0.999236
15907.696195,    0.998741
16026.183925,    0.998248
16144.671969,    0.999145
16263.159848,    0.998650
16381.647853,    0.998160
16500.136130,    0.999055
16618.624259,    0.998561
16737.112621,    0.999378
16855.601109,    0.998965
16974.089478,    0.998472
17092.578153,    0.999368
17211.066858,    0.998875
17329.555518,    0.998385
17448.044514,    0.999278
17566.533401,    0.998786
17685.022297,    0.998296
17803.511529,    0.999188
17922.000624,    0.998697
18040.489819,    0.998209
18158.979327,    0.999099
18277.468697,    0.998609
18395.958276,    0.998124
18514.448036,    0.999010
18632.937664,    0.998521
18751.427576,    0.999411
18869.917556,    0.998922
18988.407467,    0.998434
19106.897706,    0.999322
19225.387873,    0.998834
19343.878023,    0.998347
19462.368513,    0.999233
19580.858885,    0.998745
