Ground Distance, Angles
   0.000000,    0.000000
   0.473227,    0.000000
   1.888194,    0.000000
   4.237807,    0.000000
   7.514938,    0.000000
  11.712427,    0.000000
  16.823087,    0.000000
  22.839699,    0.000000
  29.755021,    0.000000
  37.561785,    0.000000
  46.252697,    0.000000
  55.820445,    0.000000
  66.257696,    0.000000
  77.557098,    0.000000
  89.711284,    0.000000
 102.712869,    0.000000
 116.554457,    0.000000
 131.228642,    0.000000
 146.728004,    0.000000
 163.045116,    0.000000
 180.172549,    0.000000
 198.102861,    0.000000
 216.828616,    0.000000
 236.342379,    0.000000
 256.636717,    0.000000
 277.704207,    0.000000
 299.537441,    0.000000
 322.129025,    0.000000
 345.471582,    0.000000
 369.557754,    0.000000
 394.380214,    0.000000
 419.931658,    0.000000
 446.204803,    0.000000
 473.192391,    0.000000
 500.887195,    0.000000
 529.282007,    0.000000
 556.222784,    0.000000
 585.946984,    0.000000
 616.355510,    0.000000
 647.446876,    0.000000
 654.254791,    0.000000
 686.170078,    0.367574
 694.037340,    0.542516
 726.751558,    1.414100
 760.025389,    2.386829
 793.735013,    3.370256
 827.775147,    4.334263
 862.079069,    5.259980
 883.055682,    5.798663
 917.689834,    6.637664
 952.484440,    7.409414
 987.411505,    8.106012
1022.447358,    8.720694
1057.572695,    9.247791
1092.772337,    9.682510
1128.035125,   10.021041
1163.354201,   10.260531
1198.726911,   10.398935
1230.285250,   10.436128
1265.764496,   10.438937
1301.301994,   10.452079
1336.896725,   10.475428
1372.547278,   10.508769
1408.251859,   10.551804
1444.008316,   10.604152
1479.814160,   10.665358
1515.666589,   10.734893
1551.562522,   10.812167
1587.498619,   10.896529
1623.471322,   10.987276
1659.476884,   11.083659
1695.511404,   11.184893
1731.570864,   11.290156
1735.507567,   11.301852
1771.589729,   11.410564
1807.687180,   11.521303
1843.794840,   11.632997
1879.907697,   11.744578
1882.257028,   11.751808
1918.370790,   11.833207
1954.484443,   11.872440
1990.598016,   11.889186
2026.711518,   11.893688
2062.824993,   11.892204
2098.938376,   11.887936
2135.051662,   11.880847
2171.164966,   11.870925
2207.278320,   11.863497
2243.391677,   11.853558
2279.505101,   11.845737
2315.618537,   11.835779
2351.732036,   11.828058
2387.845548,   11.818080
2423.959123,   11.810407
2460.072713,   11.800409
2496.186351,   11.792991
2532.300005,   11.782972
2568.413720,   11.775450
2604.527464,   11.765473
2640.641252,   11.758226
2676.755070,   11.748363
2712.868922,   11.741092
2748.982803,   11.731185
2785.096720,   11.723887
2821.210668,   11.714084
2857.324646,   11.706758
2893.438656,   11.696814
2929.552709,   11.689460
2965.666802,   11.679673
3001.780933,   11.672290
3037.895108,   11.662605
3074.009318,   11.655194
3110.123574,   11.645600
3146.237859,   11.638159
3182.352192,   11.628577
3218.466555,   11.621106
3254.580968,   11.611691
3290.695400,   11.604188
3326.809884,   11.594658
3362.924395,   11.587121
3399.038963,   11.577629
3435.153563,   11.570059
3471.268225,   11.560752
3507.382910,   11.553150
3543.497658,   11.543970
3579.612422,   11.536333
3615.727250,   11.527050
3651.842102,   11.519379
3687.957022,   11.510243
3724.071961,   11.502536
3760.186971,   11.493439
3796.302000,   11.485696
3832.417098,   11.476880
3868.532198,   11.469099
3904.647364,   11.460225
3940.762531,   11.452402
3976.877766,   11.443522
4012.993001,   11.435655
4049.108304,   11.426594
4085.223615,   11.418681
4121.338998,   11.409508
4157.454399,   11.401548
4193.569876,   11.392710
4229.685356,   11.384703
4265.800914,   11.375750
4301.916483,   11.367696
4338.032129,   11.359075
4374.147769,   11.350972
4410.263488,   11.342117
4446.379217,   11.333964
4482.495027,   11.325393
4518.610835,   11.317191
4554.726728,   11.308557
4590.842625,   11.300304
4626.958605,   11.291899
4663.074581,   11.283596
4699.190647,   11.275036
4735.306722,   11.266681
4771.422885,   11.258415
4807.539048,   11.250009
4843.655302,   11.241699
4879.771561,   11.233242
4915.887915,   11.225000
4952.004277,   11.216493
4988.120731,   11.208483
5024.237185,   11.199924
5060.353728,   11.191958
5096.470271,   11.183347
5132.586905,   11.175379
5168.703543,   11.166713
5204.820269,   11.158895
5240.936997,   11.150176
5277.053807,   11.142492
5313.170615,   11.133716
5349.287514,   11.125887
5385.404423,   11.117056
5421.521413,   11.109550
5457.638405,   11.100662
5493.755479,   11.093138
5529.872559,   11.084192
5565.989731,   11.072531
5602.106871,   11.058085
5638.223917,   11.040809
5674.340924,   11.020683
5710.458021,   11.000285
5746.575131,   10.979753
5782.692323,   10.959831
5818.809521,   10.938902
5854.926808,   10.919053
5891.044125,   10.897740
5927.161516,   10.878479
5963.278955,   10.857319
5999.396439,   10.838086
6035.513988,   10.817456
6071.631555,   10.797867
6107.749205,   10.777355
6143.866880,   10.757425
6179.984646,   10.737556
6216.102427,   10.717298
6252.220293,   10.697846
6288.338164,   10.677269
6324.456101,   10.658065
6360.574031,   10.637173
6396.692023,   10.617886
6432.810025,   10.596688
6468.928083,   10.577614
6505.046173,   10.556698
6541.164280,   10.537665
6577.282436,   10.516851
6613.400612,   10.497541
6649.518850,   10.477397
6685.637078,   10.457822
6721.755383,   10.437720
6757.873691,   10.417893
6793.992081,   10.398324
6830.110468,   10.378260
6866.228941,   10.358972
6902.347420,   10.338686
6938.465972,   10.319879
6974.584536,   10.299383
7010.703167,   10.280819
7046.821825,   10.260368
7082.940511,   10.242156
7119.059231,   10.221855
7155.177970,   10.203457
7191.296758,   10.183116
7227.415573,   10.164544
7263.534445,   10.144254
7299.653335,   10.125518
7335.772291,   10.105341
7371.891262,   10.086451
7408.010307,   10.066592
7444.129358,   10.047561
7480.248485,   10.028005
7516.367610,   10.008845
7552.486813,    9.989551
7588.606008,    9.970274
7624.725282,    9.951196
7660.844547,    9.931814
7696.963901,    9.912790
7733.083258,    9.893318
7769.202699,    9.874722
7805.322139,    9.855173
7841.441655,    9.836843
7877.561169,    9.817230
7913.680750,    9.799138
7949.800329,    9.779469
7985.919973,    9.761477
8000.034043,    9.754078
