Ground Distance, Horizontal Forces
   0.000000, 45739.964040
   0.473227, 45399.584199
   1.888194, 45057.572395
   4.237807, 44713.936584
   7.514938, 44368.779639
  11.712427, 44022.310183
  16.823087, 43674.269462
  22.839699, 43325.099213
  29.755021, 42974.748701
  37.561785, 42623.106327
  46.252697, 42270.672909
  55.820445, 41917.063652
  66.257696, 41562.597380
  77.557098, 41207.641468
  89.711284, 40851.456438
 102.712869, 40494.898896
 116.554457, 40138.024993
 131.228642, 39780.092094
 146.728004, 39422.158113
 163.045116, 39064.033429
 180.172549, 38705.219650
 198.102861, 38346.679736
 216.828616, 37988.313469
 236.342379, 37629.951548
 256.636717, 37272.114573
 277.704207, 36914.915746
 299.537441, 36558.495075
 322.129025, 36202.820965
 345.471582, 35848.083131
 369.557754, 35494.956969
 394.380214, 35142.769577
 419.931658, 34791.587235
 446.204803, 34441.881737
 473.192391, 34093.337019
 500.887195, 33745.977007
 529.282007, 33398.515165
 556.222784, 33076.736163
 585.946984, 32956.443850
 616.355510, 32842.675458
 647.446876, 32686.159705
 654.254791, 32647.069697
 686.170078, 31731.436737
 694.037340, 31290.469249
 726.751558, 27791.033506
 760.025389, 21447.314603
 793.735013, 16348.537598
 827.775147, 13216.658367
 862.079069, 10967.689306
 883.055682, 9819.265213
 917.689834, 8200.199579
 952.484440, 6803.328848
 987.411505, 5608.073368
1022.447358, 4617.177779
1057.572695, 3823.678917
1092.772337, 3216.927246
1128.035125, 2817.849517
1163.354201, 2624.724861
1198.726911, 2607.168613
1230.285250, 2761.729262
1265.764496, 2740.065079
1301.301994, 2698.570009
1336.896725, 2637.783281
1372.547278, 2558.427855
1408.251859, 2461.393028
1444.008316, 2347.718956
1479.814160, 2218.581845
1515.666589, 2075.279291
1551.562522, 1919.215530
1587.498619, 1751.886563
1623.471322, 1574.865168
1659.476884, 1389.785877
1695.511404, 1198.330002
1731.570864, 1002.210802
1735.507567,  980.598551
1771.589729,  735.461115
1807.687180,  490.498178
1843.794840,  247.837177
1879.907697,    9.560982
1882.257028,   -5.739206
1918.370790,  -54.576910
1954.484443,  -74.666488
1990.598016,  -77.472530
2026.711518,  -83.532280
2062.824993,  -91.445324
2098.938376,  -93.684340
2135.051662,  -90.267534
2171.164966,  -81.261546
2207.278320,  -91.029410
2243.391677,  -81.952001
2279.505101,  -90.905544
2315.618537,  -81.767153
2351.732036,  -90.876553
2387.845548,  -81.675216
2423.959123,  -90.838153
2460.072713,  -81.518809
2496.186351,  -90.869863
2532.300005,  -81.269388
2568.413720,  -90.383993
2604.527464,  -84.083754
2640.641252,  -90.465722
2676.755070,  -90.824884
2712.868922,  -90.657485
2748.982803,  -90.804910
2785.096720,  -90.646368
2821.210668,  -95.135139
2857.324646,  -90.721561
2893.438656,  -90.299390
2929.552709,  -90.406807
2965.666802,  -94.856114
3001.780933,  -90.290880
3037.895108,  -94.906409
3074.009318,  -90.262735
3110.123574,  -95.017892
3146.237859,  -90.292634
3182.352192,  -95.034574
3218.466555,  -90.226858
3254.580968,  -95.261880
3290.695400,  -90.365826
3326.809884,  -95.135333
3362.924395,  -90.153697
3399.038963,  -94.963442
3435.153563,  -89.898419
3471.268225,  -95.039548
3507.382910,  -89.887636
3543.497658,  -95.240055
3579.612422,  -89.996074
3615.727250,  -95.109268
3651.842102,  -89.776099
3687.957022,  -95.145934
3724.071961,  -89.720994
3760.186971,  -95.132013
3796.302000,  -89.614711
3832.417098,  -95.540421
3868.532198,  -89.920061
3904.647364,  -95.692322
3940.762531,  -89.966528
3976.877766,  -95.779135
4012.993001,  -90.235266
4049.108304,  -95.851419
4085.223615,  -90.191831
4121.338998,  -95.553614
4157.454399,  -89.784598
4193.569876,  -95.770864
4229.685356,  -89.884485
4265.800914,  -95.607799
4301.916483,  -89.608169
4338.032129,  -95.948632
4374.147769,  -89.825348
4410.263488,  -95.667223
4446.379217,  -89.428135
4482.495027,  -95.795018
4518.610835,  -89.433882
