Ground distance, Vertical Forces
   0.000000,    0.000000
   6.194505,  398.202493
  24.649676, 1567.775476
  55.165712, 3469.806722
  97.533673, 6063.831498
 151.536232, 9308.159560
 216.948417, 13160.212519
 293.538381, 17576.827197
 381.068176, 22514.553433
 479.294536, 27929.974647
 587.969612, 33779.984599
 706.841772, 40021.995135
 835.656422, 46614.363538
 974.156842, 53516.541649
1122.085087, 60689.380017
1279.182732, 68095.215211
1445.191686, 75698.085129
1619.854677, 83463.551047
1802.915772, 91358.884109
1937.332591, 97004.540895
1937.332591, 97004.540895
2060.127132, 118433.114934
2086.945280, 124645.259488
2187.196221, 129110.625307
2189.219060, 129152.909946
2394.878237, 126188.729692
2606.959681, 121639.209631
2740.310267, 118173.030348
2742.500474, 118127.530974
2964.625115, 118129.819401
3192.840660, 118131.984033
3404.817044, 118133.846507
3641.485072, 118133.858099
3878.153198, 118133.858099
4114.821325, 118133.858099
4351.489451, 118133.858099
4588.157578, 118133.858099
4824.825704, 118133.858099
5061.493830, 118133.858099
5298.161957, 118133.858099
5534.830083, 118133.858099
5771.498210, 118133.858099
6008.166336, 118133.858099
6244.834463, 118133.858099
6481.502589, 118133.858099
6718.170716, 118133.858099
6954.838842, 118133.858099
7191.506968, 118133.858099
7428.175095, 118133.858099
7664.843221, 118133.858099
7901.511348, 118133.858099
8138.179474, 118133.858099
8374.847601, 118133.858099
8611.515727, 118133.858099
8848.183854, 118133.858099
9084.851980, 118133.858099
9321.520106, 118133.858099
9558.188233, 118133.858099
9794.856359, 118133.858099
10031.524486, 118133.858099
10268.192612, 118133.858099
10504.860739, 118133.858099
10741.528865, 118133.858099
10978.196992, 118133.858099
11214.865118, 118133.858099
11451.533244, 118133.858099
11688.201371, 118133.858099
11924.869497, 118133.858099
12161.537624, 118133.858099
12398.205750, 118133.858099
12634.873877, 118133.858099
12871.542003, 118133.858099
13108.210130, 118133.858099
13344.878256, 118133.858099
13581.546382, 118133.858099
13818.214509, 118133.858099
14054.882635, 118133.858099
14291.550762, 118133.858099
14528.218888, 118133.858099
14764.887015, 118133.858099
15001.555141, 118133.858099
15238.223268, 118133.858099
15474.891394, 118133.858099
15711.559520, 118133.858099
15948.227647, 118133.858099
16184.895773, 118133.858099
16421.563900, 118133.858099
16658.232026, 118133.858099
16894.900153, 118133.858099
17131.568279, 118133.858099
17368.236406, 118133.858099
17604.904532, 118133.858099
17841.572658, 118133.858099
18078.240785, 118133.858099
18314.908911, 118133.858099
18551.577038, 118133.858099
18788.245164, 118133.858099
19024.913291, 118133.858099
19261.581417, 118133.858099
19498.249544, 118133.858099
19734.917670, 118133.858099
19971.585796, 118133.858099
20208.253923, 118133.858099
20444.922049, 118133.858099
20681.590176, 118133.858099
20918.258302, 118133.858099
21154.926429, 118133.858099
21391.594555, 118133.858099
21628.262682, 118133.858099
21864.930808, 118133.858099
22101.598934, 118133.858099
22338.267061, 118133.858099
22574.935187, 118133.858099
22811.603314, 118133.858099
23048.271440, 118133.858099
23284.939567, 118133.858099
23521.607693, 118133.858099
23758.275820, 118133.858099
23994.943946, 118133.858099
24231.612072, 118133.858099
24468.280199, 118133.858099
24704.948325, 118133.858099
24941.616452, 118133.858099
25178.284578, 118133.858099
25414.952705, 118133.858099
25651.620831, 118133.858099
25888.288958, 118133.858099
26246.719160, 118133.858099
26246.719160, 118133.858099
