Ground Distance, Angles
   0.000000,    0.000000
   1.888207,    0.000000
   7.515043,    0.000000
  16.823440,    0.000000
  29.755848,    0.000000
  46.254292,    0.000000
  66.260421,    0.000000
  89.715560,    0.000000
 116.560764,    0.000000
 146.736874,    0.000000
 180.184565,    0.000000
 216.844408,    0.000000
 256.656958,    0.000000
 299.562843,    0.000000
 345.502892,    0.000000
 394.418214,    0.000000
 446.250302,    0.000000
 500.941031,    0.000000
 556.079956,    0.000000
 616.213220,    3.622611
 655.025820,    5.571275
 693.878315,    7.511280
 726.593608,    7.511280
 793.579443,    6.714169
 861.925148,    5.915860
 882.696589,    5.670523
 952.123568,    4.876529
1022.084086,    4.077628
1092.405670,    3.279408
1162.982808,    2.479725
1230.337953,    1.720519
1301.348304,    1.720519
1372.585930,    1.720519
1444.038270,    1.720519
1515.687039,    1.720519
1587.508987,    1.720519
1659.476815,    1.720519
1731.560201,    1.720519
1735.058764,    1.720519
1807.227413,    1.720519
1879.437336,    1.720519
1882.668506,    1.720519
1954.885567,    1.440519
2027.102302,    1.360519
2099.318880,    1.360519
2171.535327,    1.380519
2243.751918,    1.380519
2315.968655,    1.400519
2388.185521,    1.420519
2426.689780,    1.440519
2498.906311,   -0.699481
2571.122151,   -1.139481
2643.337522,   -1.179481
2715.552921,   -1.119481
2787.768897,    1.120519
2859.985473,    1.620519
2932.202426,    1.780519
3004.419675,    1.820519
3076.637098,    1.840519
3148.854629,    1.860519
3221.072135,    1.880519
3293.289657,    1.880519
3365.506977,    1.880519
3437.724447,    1.900519
3509.941657,    1.900519
3582.159066,    1.920519
3654.376212,    1.920519
3726.593545,    1.940519
3798.810647,    1.940519
3871.027877,    1.960519
3943.244954,    1.960519
4015.462059,    1.980519
4087.679106,    1.980519
4159.896045,    1.980519
4232.113072,    2.000519
4304.329888,    2.000519
4376.546899,    2.020519
4448.763669,    2.020519
4520.980640,    2.040519
4593.197336,    2.040519
4665.414204,    2.060519
4737.630894,    2.060519
4809.847686,    2.080519
4882.064349,    2.080519
4954.280982,    2.100519
5026.497640,    2.100519
5098.714154,    2.100519
5170.930802,    2.120519
5243.147204,    2.120519
5315.363815,    2.140519
5387.580180,    2.140519
5459.796750,    2.160519
5532.013096,    2.160519
5604.229583,    2.180519
5676.445898,    2.180519
5748.662228,    2.200519
5820.878540,    2.200519
5893.094751,    2.200519
5965.311075,    2.220519
6037.527190,    2.220519
6109.743502,    2.240519
6181.959560,    2.240519
6254.175826,    2.260519
6326.391852,    2.260519
6398.608038,    2.280519
6470.824055,    2.280519
6543.040144,    2.300519
6615.256195,    2.300519
6687.472202,    2.306665
6759.688273,    2.320519
6831.904153,    2.320519
6904.120218,    2.340519
6976.336039,    2.340519
7048.552077,    2.360519
7120.767876,    2.360519
7192.983863,    2.380519
7265.199694,    2.380519
7337.415631,    2.400519
7409.631488,    2.400519
7481.847308,    2.400519
7554.063222,    2.420519
7626.278988,    2.420519
7698.494938,    2.440519
7770.710646,    2.440519
7842.926578,    2.460519
7915.142280,    2.460519
7987.358173,    2.480519
8000.000000,    2.480519
