Ground distance, Vertical Forces
   0.000000,    0.000000
   6.194905,    0.000000
  24.655653,    0.000000
  55.195012,    0.000000
  97.624172,    0.000000
 151.752927,    0.000000
 217.389834,    0.000000
 294.342389,    0.000000
 382.417203,    0.000000
 481.420189,    0.000000
 591.156710,    0.000000
 711.431786,    0.000000
 842.050386,    0.000000
 982.817726,    0.000000
1133.539670,    0.000000
1294.023010,    0.000000
1464.075793,    0.000000
1643.507320,    0.000000
1824.409304,    0.000000
2021.696916, 2373.984387
2149.034841, 3616.859143
2276.503659, 4830.667481
2383.837296, 4800.773256
2603.607095, 4253.590505
2827.838413, 3727.487207
2895.986184, 3568.289668
3123.764987, 3057.884952
3353.294246, 2550.303321
3584.008104, 2046.947977
3815.560393, 1545.094305
4036.541841, 1070.178541
4269.515434, 1067.937402
4503.234678, 1065.750443
4737.658365, 1063.649971
4972.726505, 1061.664452
5208.362818, 1059.817587
5444.477738, 1058.127629
5680.971788, 1056.606911
5692.450013, 1056.537589
5929.223795, 1055.223008
6166.132993, 1054.126011
6176.733942, 1054.081877
6413.666558,  881.752825
6650.598104,  832.009110
6887.529135,  831.224420
7124.459735,  842.643967
7361.390807,  841.848368
7598.322359,  853.236228
7835.254335,  864.602371
7961.580644,  876.332960
8198.511518, -386.048160
8435.440129, -564.666428
8672.367197, -518.205386
8909.294359, -429.077322
9146.223414,  429.270811
9383.154440,  620.505390
9620.086700,  681.459557
9857.019932,  696.467631
10093.953735,  703.818206
10330.887889,  711.164038
10567.821964,  718.501586
10804.756091,  718.200508
11041.689557,  717.897297
11278.623514,  725.225111
11515.556616,  724.919886
11752.490375,  732.237882
11989.423266,  731.930589
12226.356776,  739.238936
12463.289526,  738.929551
12700.222693,  746.228339
12937.155361,  745.916779
13174.088121,  753.206192
13411.020688,  752.892430
13647.952904,  752.576068
13884.885406,  759.856394
14121.817217,  759.538201
14358.749669,  766.808620
14595.681328,  766.488473
14832.613647,  773.749439
15069.545065,  773.427447
15306.477049,  780.678693
15543.408444,  780.354568
15780.340178,  787.596569
16017.271487,  787.270438
16254.202698,  794.503113
16491.133989,  794.174716
16728.064810,  793.843872
16964.996070,  801.067643
17201.926523,  800.735114
17438.857662,  807.949079
17675.787991,  807.614663
17912.718996,  814.819182
18149.649266,  814.482890
18386.579996,  821.674015
18623.510164,  821.329460
18860.440381,  828.508846
19097.370537,  828.162097
19334.300363,  827.812637
19571.230562,  834.983299
19808.160072,  834.632214
20045.090229,  841.793099
20282.019554,  841.440290
20518.949561,  848.591586
20755.878778,  848.236980
20992.808524,  855.378805
21229.737714,  855.022287
21466.667139,  862.154738
21703.596440,  861.796140
21940.525596,  863.734932
22177.454965,  868.558937
22414.383703,  868.195991
22651.313052,  875.310454
22888.241598,  874.945872
23125.170855,  882.050777
23362.099330,  881.684492
23599.028423,  888.779904
23835.957002,  888.411754
24072.885928,  895.498041
24309.814593,  895.128063
24546.743137,  894.754944
24783.671988,  901.833101
25020.600355,  901.458541
25257.529326,  908.527225
25494.457500,  908.151272
25731.386409,  915.210326
25968.314567,  914.832744
26205.243350,  921.882532
26246.719160,  921.816275
