Ground Distance, Angles
   0.000000,    0.000000
   1.648704,    0.000000
   6.565546,    0.000000
  14.705968,    0.000000
  26.024593,    0.000000
  40.475283,    0.000000
  58.011198,    0.000000
  78.584867,    0.000000
 102.148236,    0.000000
 128.652739,    0.000000
 158.049362,    0.000000
 190.288688,    0.000000
 225.320983,    0.000000
 263.096243,    0.000000
 303.564296,    0.000000
 346.674876,    0.000000
 392.377726,    0.000000
 440.622658,    0.000000
 491.359657,    0.000000
 544.538886,    0.000000
 600.110743,    0.000000
 635.486220,    0.000000
 694.825270,    2.693603
 749.747379,    4.964083
 813.390959,    8.378907
 818.125523,    8.681784
 850.779612,    9.796458
 917.201098,   12.352890
 966.546524,   14.423363
1034.273039,   17.406178
1038.299339,   17.586685
1106.126881,   14.142637
1173.953613,   13.848532
1241.779819,   13.853384
1309.606375,   13.895727
1377.433455,   13.942843
1445.261031,   13.988792
1513.089101,   14.034459
1580.917638,   14.079348
1648.746644,   14.107148
1716.576136,   14.150032
1780.379682,   14.194299
1817.190870,   14.162646
1885.020555,   14.152342
1952.850251,   14.155450
2020.680498,   14.163599
2088.511255,   14.171418
2156.342540,   14.179232
2224.174354,   14.187201
2292.006680,   14.194941
2359.839526,   14.202674
2427.672893,   14.210248
2428.516631,   14.210135
2496.349840,   11.711591
2564.182344,   10.666967
2632.015244,    9.689623
2699.848884,    8.712322
2767.683330,   10.184585
2835.518515,   10.265966
2903.354305,   10.280888
2971.190427,   10.276562
3039.026972,   10.290799
3106.863927,   10.284255
3174.701374,   10.301119
3242.539195,   10.314457
3310.377436,   10.310230
3378.216149,   10.325154
3446.055235,   10.318718
3513.894819,   10.335196
3581.734796,   10.348714
3649.575188,   10.344558
3717.416039,   10.359456
3785.257256,   10.353077
3853.098979,   10.369383
3920.941113,   10.383045
3988.783646,   10.378913
4056.626624,   10.393526
4124.469944,   10.387147
4192.313742,   10.403212
4260.157909,   10.416451
4328.002472,   10.412254
4395.847476,   10.426774
4463.692840,   10.420323
4531.538674,   10.436647
4599.384868,   10.449695
4667.231484,   10.445395
4735.078559,   10.460389
4802.925958,   10.453830
4870.773836,   10.469864
4938.622093,   10.483131
5006.470747,   10.478687
5074.319855,   10.493282
5142.169323,   10.486570
5210.019270,   10.502868
5277.869596,   10.516168
5345.720325,   10.511543
5413.571514,   10.526497
5481.423039,   10.519597
5549.275031,   10.535930
5617.127407,   10.549478
5684.980164,   10.544632
5752.833394,   10.559452
5820.687004,   10.552333
5888.541070,   10.569142
5956.395520,   10.582713
6024.250357,   10.577623
6092.105674,   10.592855
6159.961348,   10.585486
6227.817496,   10.602135
6295.674071,   10.616099
6363.531030,   10.610743
6431.388485,   10.626098
6499.246321,   10.638814
6567.104616,   10.635453
6634.963350,   10.649489
6702.822482,   10.643849
6770.682103,   10.659721
6838.542076,   10.672543
6906.402486,   10.668862
6974.263339,   10.683117
7042.124580,   10.677150
7109.986328,   10.693037
7177.848473,   10.706125
7245.711070,   10.702108
7313.574188,   10.691569
7381.438001,   10.700595
7449.301891,   10.687396
7517.166010,   10.690635
7585.030611,   10.674641
7652.895696,   10.682614
7720.761207,   10.687617
7788.627121,   10.672960
7856.493531,   10.679827
7924.360337,   10.684149
7992.227587,   10.670882
8000.000000,   10.668940
