Ground Distance, Angular Velocity
   0.000000,    0.000000
   6.194905,    0.000000
  24.655653,    0.000000
  55.195012,    0.000000
  97.624172,    0.000000
 151.752927,    0.000000
 217.389834,    0.000000
 294.342389,    0.000000
 382.417203,    0.000000
 481.420189,    0.000000
 591.156710,    0.000000
 711.431786,    0.000000
 842.050386,    0.000000
 982.817726,    0.000000
1133.539670,    0.000000
1294.023010,    0.000000
1464.075793,    0.000000
1643.507320,    0.000000
1824.409304,    0.000000
2021.696916,    0.000000
2149.034841,    0.198516
2276.503659,    1.574562
2383.837296,    1.913214
2603.607095,    1.959760
2827.838413,    1.809403
2895.986184,    1.740783
3123.764987,    1.472912
3353.294246,    1.145880
3584.008104,    0.775538
3815.560393,    0.379060
4036.541841,   -0.011687
4269.515434,    0.035782
4503.234678,    0.075605
4737.658365,    0.112764
4972.726505,    0.146047
5208.362818,    0.174416
5444.477738,    0.197030
5680.971788,    0.213266
5692.450013,    0.213884
5929.223795,    0.222195
6166.132993,    0.221976
6176.733942,    0.221768
6413.666558,    0.055147
6650.598104,   -0.000463
6887.529135,   -0.011432
7124.459735,   -0.011286
7361.390807,   -0.022459
7598.322359,   -0.022338
7835.254335,   -0.022224
7961.580644,   -0.016913
8198.511687,   -0.685346
8435.440920,   -0.849101
8672.369321,   -0.889505
8909.298624,   -0.883468
9146.229549,   -0.233556
9383.162285,   -0.078440
9620.096207,   -0.031752
9857.030961,   -0.017608
10093.966329,   -0.014330
10330.902216,   -0.011034
10567.838510,   -0.007727
10804.774869,   -0.004424
11041.711431,   -0.012094
11278.648444,   -0.008800
11515.585608,   -0.005505
11752.522794,   -0.013146
11989.460472,   -0.009868
12226.398445,   -0.006577
12463.336566,   -0.014174
12700.275116,   -0.010913
12937.214053,   -0.007635
13174.153121,   -0.004360
13411.092444,   -0.011954
13648.032274,   -0.008688
13884.972331,   -0.005418
14121.912559,   -0.012979
14358.853315,   -0.009730
14595.794356,   -0.006471
14832.735469,   -0.014000
15069.677019,   -0.010771
15306.618954,   -0.007525
15543.561034,   -0.004282
15780.503510,   -0.011802
16017.446522,   -0.008567
16254.389736,   -0.005332
16491.333043,   -0.012831
16728.276855,   -0.009614
16965.220951,   -0.006385
17202.165206,   -0.013844
17439.109951,   -0.010642
17676.055093,   -0.007423
17913.000373,   -0.004208
18149.945991,   -0.011659
18386.892118,   -0.008453
18623.838449,   -0.005244
18860.784941,   -0.012668
19097.731937,   -0.009479
19334.679192,   -0.006279
19571.626551,   -0.013668
19808.574385,   -0.010494
20045.522646,   -0.007298
20282.471142,   -0.004107
20519.419910,   -0.011490
20756.369232,   -0.008304
20993.318873,   -0.005116
21230.268732,   -0.012465
21467.219123,   -0.009300
21704.169795,   -0.006123
21941.120636,   -0.013439
22178.071984,   -0.010289
22415.023432,   -0.017747
22651.975249,   -0.025280
22888.927526,   -0.022442
23125.879661,   -0.019575
23362.831784,   -0.027133
23599.784267,   -0.024267
23836.736996,   -0.021373
24073.689764,   -0.018461
24310.642692,   -0.025941
24547.596047,   -0.023020
24784.549616,   -0.020073
25021.503216,   -0.027462
25258.457037,   -0.024527
25495.411219,   -0.021553
25732.365554,   -0.018557
25969.319979,   -0.025882
26206.274796,   -0.022888
26246.719160,   -0.024131
