Ground Distance, FuelUsed
   0.000000,    0.000000
   6.194905,    2.367683
  24.655653,    4.737424
  55.195012,    7.108516
  97.624172,    9.480471
 151.752927,   11.852985
 217.389834,   14.225817
 294.342389,   16.598905
 382.417203,   18.972346
 481.420189,   21.346266
 591.156710,   23.720741
 711.431786,   26.096091
 842.050386,   28.472536
 982.817726,   30.850050
1133.539670,   33.228848
1294.023010,   35.608956
1464.075793,   37.990259
1643.507320,   40.372997
1824.409304,   42.661657
2021.696916,   45.047250
2149.034841,   46.533117
2276.503659,   47.982706
2383.837296,   49.177254
2603.607095,   51.567392
2827.838413,   53.958192
2895.986184,   54.678238
3123.764987,   57.068432
3353.294246,   59.457455
3584.008104,   61.844881
3815.560393,   64.230424
4036.541841,   66.498389
4269.515434,   68.880057
4503.234678,   71.259772
4737.658365,   73.637492
4972.726505,   76.013164
5208.362818,   78.386726
5444.477738,   80.758106
5680.971788,   83.127231
5692.450013,   83.242079
5929.223795,   85.608751
6166.132993,   87.972998
6176.733942,   88.078722
6413.666558,   90.440352
6650.598104,   92.799445
6887.529135,   95.155997
7124.459735,   97.510009
7361.390807,   99.861485
7598.322359,  102.210430
7835.254335,  104.556848
7961.580644,  105.806868
8198.511687,  108.090170
8435.440920,  110.252707
8672.369321,  112.294863
8909.298624,  114.217010
9146.229549,  116.078550
9383.162285,  117.938690
9620.096207,  119.797455
9857.030961,  121.654855
10093.966329,  123.510892
10330.902216,  125.365570
10567.838510,  127.218891
10804.774869,  129.070856
11041.711431,  130.921467
11278.648444,  132.770725
11515.585608,  134.618634
11752.522794,  136.465194
11989.460472,  138.310408
12226.398445,  140.154277
12463.336566,  141.996803
12700.275116,  143.837988
12937.214053,  145.677834
13174.153121,  147.516343
13411.092444,  149.353516
13648.032274,  151.189355
13884.972331,  153.023863
14121.912559,  154.857040
14358.853315,  156.688890
14595.794356,  158.519413
14832.735469,  160.348611
15069.677019,  162.176493
15306.618954,  164.003071
15543.561034,  165.828348
15780.503510,  167.652324
16017.446522,  169.475003
16254.389736,  171.296385
16491.333043,  173.116473
16728.276855,  174.935268
16965.220951,  176.752772
17202.165206,  178.568986
17439.109951,  180.383913
17676.055093,  182.197554
17913.000373,  184.009910
18149.945991,  185.820985
18386.892118,  187.630778
18623.838449,  189.439293
18860.784941,  191.246530
19097.731937,  193.052491
19334.679192,  194.857179
19571.626551,  196.660595
19808.574385,  198.462740
20045.522646,  200.263617
20282.471142,  202.063226
20519.419910,  203.861570
20756.369232,  205.658651
20993.318873,  207.454469
21230.268732,  209.249028
21467.219123,  211.042328
21704.169795,  212.834371
21941.120636,  214.625158
22178.071984,  216.414693
22415.023432,  218.202241
22651.975249,  219.986716
22888.927526,  221.768117
23125.879661,  223.546452
23362.831784,  225.321731
23599.784267,  227.093964
23836.736996,  228.863160
24073.689764,  230.629330
24310.642692,  232.392483
24547.596047,  234.152629
24784.549616,  235.909776
25021.503216,  237.663935
25258.457037,  239.415116
25495.411219,  241.163327
25732.365554,  242.908578
25969.319979,  244.650878
26206.274796,  246.390237
26246.719160,  246.686825
