Ground distance, Vertical Forces
   0.000000, 118189.818521
   6.194905, 118189.818521
  24.655653, 118189.818521
  55.195012, 118189.818521
  97.624172, 118189.818521
 151.752927, 118189.818521
 217.389834, 118189.818521
 294.342389, 118189.818521
 382.417203, 118189.818521
 481.420189, 118189.818521
 591.156710, 118189.818521
 711.431786, 118189.818521
 842.050386, 118189.818521
 982.817726, 118189.818521
1133.539670, 118189.818521
1294.023010, 118189.818521
1464.075793, 118189.818521
1643.507320, 118189.818521
1824.409304, 118189.818521
2021.696916, 118189.818521
2149.034841, 118189.818521
2276.503659, 118136.540148
2383.837296, 118104.543911
2603.607095, 117933.089708
2827.838413, 117636.199037
2895.986184, 117529.016322
3123.764987, 117143.516099
3353.294246, 116760.483000
3584.008104, 116439.648765
3815.560393, 116229.744962
4036.541841, 116161.664474
4269.515434, 116153.606430
4503.234678, 116130.280626
4737.658365, 116092.206299
4972.726505, 116040.260473
5208.362818, 115975.679946
5444.477738, 115900.063689
5680.971788, 115815.368283
5692.450013, 115811.068075
5929.223795, 115719.435240
6166.132993, 115624.423685
6176.733942, 115620.149221
6413.666558, 115566.907148
6650.598104, 115555.518768
6887.529135, 115555.728175
7124.459735, 115560.498484
7361.390807, 115565.354897
7598.322359, 115570.315197
7835.254335, 115575.280673
8072.186676, 115580.228179
8309.119390, 115585.175135
8546.052557, 115590.086983
8782.986202, 115594.933546
9019.920316, 115599.729065
9256.854979, 115604.561733
9493.790194, 115609.326650
9730.725921, 115614.042249
9967.662113, 115618.729262
10204.598719, 115623.392910
10441.535770, 115628.092011
10678.473300, 115632.779632
10915.411295, 115637.416427
11152.349772, 115642.057484
11389.288786, 115646.703129
11626.228350, 115651.304299
11863.168402, 115655.835313
12100.108946, 115660.392758
12337.050068, 115664.986734
12573.991799, 115669.523405
12810.934021, 115673.942312
13047.876799, 115678.477485
13284.820063, 115682.912119
13521.763858, 115687.514375
13758.708219, 115692.065014
13995.653090, 115696.558245
14232.598554, 115701.141328
14469.544538, 115705.559647
14706.491078, 115710.085503
14943.438245, 115714.578030
15180.385965, 115718.958394
15417.334295, 115723.438435
15654.283149, 115727.754214
15891.232508, 115732.145895
16128.182356, 115736.484936
16365.132681, 115740.827919
16602.083513, 115745.177789
16839.034897, 115749.519193
17075.986835, 115753.809855
17312.939284, 115758.057122
17549.892272, 115762.341860
17786.845906, 115766.654596
18023.800124, 115770.817452
18260.754752, 115776.917927
18497.709537, 115788.833107
18734.665158, 115801.848273
18971.621325, 115815.516033
19208.578173, 115829.282746
19445.535645, 115842.869537
19682.493736, 115856.462665
19919.452420, 115869.915718
20156.411826, 115883.233259
20393.371903, 115896.312117
20630.332700, 115909.177653
20867.294024, 115922.039905
21104.255700, 115935.072994
21341.217822, 115947.980942
21578.180318, 115960.870405
21815.143261, 115973.663193
22052.106652, 115986.311816
22289.070488, 115998.949788
22526.034852, 116011.421022
22762.999684, 116023.774089
22999.964953, 116036.045314
23236.930665, 116048.223743
23473.896886, 116060.356821
23710.863573, 116072.311676
23947.830616, 116084.373225
24184.798123, 116096.455774
24421.766157, 116108.394438
24658.734680, 116120.209776
24895.703709, 116131.951533
25132.673164, 116143.520930
25369.643100, 116155.084907
25606.613466, 116166.462172
25843.584353, 116177.837925
26080.555739, 116189.035135
26246.719160, 116196.547849
