Time, Thrust
   0.000000, 184890.261832
   1.000000, 182790.191300
   2.000000, 180715.839297
   3.000000, 178667.392485
   4.000000, 176643.584435
   5.000000, 174645.504520
   6.000000, 172672.267314
   7.000000, 170723.403462
   8.000000, 168800.696385
   9.000000, 166900.285153
  10.000000, 165025.961284
  11.000000, 163175.197865
  12.000000, 161348.997328
  13.000000, 159548.005879
  14.000000, 157772.712882
  15.000000, 156024.889614
  16.000000, 154306.146916
  17.000000, 152615.842542
  18.000000, 150958.464655
  19.000000, 149329.325647
  20.000000, 147730.345535
  21.000000, 146159.096904
  22.000000, 144602.340544
  22.108370, 144435.170227
  23.108370, 142892.388662
  24.108370, 141319.246456
  24.638595, 140485.637074
  25.485015, 139193.607373
  25.985015, 138477.160333
  26.985015, 137348.703792
  27.985015, 136599.634357
  28.331518, 136410.610025
  29.331518, 136055.174891
  29.767083, 135986.981291
  30.767083, 135881.883939
  31.767083, 135771.772623
  32.767083, 135660.664842
  33.767083, 135548.629076
  34.767083, 135436.348184
  35.767083, 135323.759557
  36.767083, 135210.853445
  37.767083, 135097.660553
  38.767083, 134984.175142
  39.767083, 134870.412045
  40.331518, 134806.161361
  41.103528, 134718.691198
  42.103528, 134605.049308
  43.103528, 134491.076710
  44.103528, 134377.305865
  45.103528, 134263.667381
  46.103528, 134150.146130
  47.103528, 134036.758147
  48.103528, 133923.526865
  49.103528, 133810.426548
  50.103528, 133697.461170
  50.781054, 133621.013433
  51.781054, 117169.801288
  52.781054, 100757.146909
  53.781054, 84377.225730
  54.781054, 68023.893526
  55.781054, 68003.287647
  56.781054, 67983.627121
  57.781054, 67964.110689
  58.781054, 67944.603099
  59.781054, 67925.329916
  60.781054, 67906.051692
  61.781054, 67886.578914
  62.781054, 67867.234338
  63.781054, 67847.859615
  64.781054, 67828.419467
  65.781054, 67809.162828
  66.781054, 67789.851544
  67.781054, 67770.446207
  68.781054, 67751.198407
  69.781054, 67731.872471
  70.781054, 67712.525341
  71.781054, 67693.316437
  72.781054, 67674.006212
  73.781054, 67654.717671
  74.781054, 67635.502695
  75.781054, 67616.159864
  76.781054, 67596.910449
  77.781054, 67577.728766
  78.781054, 67558.395034
  79.781054, 67539.207080
  80.781054, 67520.041644
  81.781054, 67500.730057
  82.781054, 67481.598221
  83.781054, 67462.455476
  84.781054, 67443.178154
  85.781054, 67424.078750
  86.781054, 67404.944355
  87.781054, 67385.703412
  88.781054, 67366.635768
  89.781054, 67347.510032
  90.781054, 67328.333170
  91.781054, 67309.316584
  92.781054, 67290.217650
  93.781054, 67271.071263
  94.781054, 67252.061565
  95.781054, 67232.947367
  96.781054, 67213.891321
  97.781054, 67194.934872
  98.781054, 67175.850021
  99.781054, 67156.819998
 100.781054, 67137.862072
 101.781054, 67118.760546
 102.781054, 67099.837376
 103.781054, 67080.926767
 104.781054, 67061.856520
 105.781054, 67042.948566
 106.781054, 67024.030572
 107.781054, 67004.997269
 108.781054, 66986.147227
 109.781054, 66967.264397
 110.781054, 66948.274575
 111.781054, 66929.455172
 112.781054, 66910.580313
 113.781054, 66891.640159
 114.781054, 66872.858308
 115.781054, 66853.998424
 116.781054, 66834.837690
 117.781054, 66815.771245
 118.781054, 66796.606558
 119.781054, 66777.465140
 120.781054, 66758.431823
 121.781054, 66739.277551
 122.781054, 66720.187848
 123.781054, 66701.171932
 124.781054, 66682.013521
 125.781054, 66663.000632
 126.276136, 66653.609440
